	logFC	logCPM	F	PValue	FDR
CD74	2.96118497550037	5.16451097005768	156.613682309906	3.17269415182683e-19	1.05882551394939e-14
PTTG1IP	1.72610299019737	5.25567494323304	153.430772199825	5.14992954255539e-19	1.05882551394939e-14
SERPINA3	7.4422036806589	4.02776023399531	117.597670052228	2.07612804624981e-16	2.31335119537129e-12
OPRK1	2.70523956951609	4.39104354018222	117.158734023855	2.25034162973861e-16	2.31335119537129e-12
FCGBP	4.11664619181325	4.62395243906404	103.598674559157	2.99961337215767e-15	2.46688203726247e-11
SPON2	-2.29086539706026	3.50955872500848	93.5318263116123	2.3569884137802e-14	1.60174475364551e-10
CD44	5.32672652714182	3.24170406140021	92.8435169020767	2.72670556311249e-14	1.60174475364551e-10
C4A	2.95132561492445	4.50555222835645	91.2612561142916	3.82086443552173e-14	1.73683176805294e-10
RPS6KA2	0.996394557139328	6.34967932216605	91.1110922011482	3.94588687937653e-14	1.73683176805294e-10
IFITM2	3.68263512766305	2.38741454457617	90.7941225766525	4.2238126654984e-14	1.73683176805294e-10
PRMT2	1.0558558610188	6.4212272290418	89.2085503299679	5.9495500804122e-14	2.22404999369591e-10
CNN3	1.6843783464226	5.62012314131795	87.1432363786059	9.34541619460291e-14	3.20236261601727e-10
DGKG	1.51966314258416	6.33632298122872	85.5980048963594	1.3154794440092e-13	4.16096267212757e-10
GFAP	3.16173651872895	9.42222443329057	83.4836958118982	2.11228377520303e-13	6.20407920259631e-10
SLC11A1	3.56506290291063	2.7373171033399	81.1599751763925	3.58272130048395e-13	9.23520450651305e-10
ELK1	1.52407838904265	6.22925318011894	81.146911216368	3.59346478852648e-13	9.23520450651305e-10
C4B	3.08781103261445	4.52091368079563	80.5028434032634	4.16647058910549e-13	1.00779570955305e-09
RNF152	2.12700513898693	3.63581727240416	80.1476879490217	4.52191683508583e-13	1.03300677921516e-09
C1QB	2.94061112617274	3.26999669267115	78.6950942596	6.33368906545758e-13	1.32540415237183e-09
GRIN3A	1.99315266682934	4.62481046122777	78.6193772115928	6.44651825083576e-13	1.32540415237183e-09
VAT1L	1.82356564970274	5.58748947263781	77.0770551713417	9.25593494108213e-13	1.81240021322522e-09
ADAMTS9-AS2	1.90355304071933	3.40699293598683	74.9365873636236	1.53924638633334e-12	2.87699142754667e-09
IFNAR1	1.08834809912651	6.27385516475526	74.5089103781957	1.70549450158937e-12	3.04912756110238e-09
BTG3	2.24223837804829	2.46917134891493	72.4526036464722	2.8051222667998e-12	4.50293079153118e-09
C1R	2.4249292931213	3.44628758005693	72.4231757503889	2.82532247145247e-12	4.50293079153118e-09
AQP1	2.58710032361706	3.5885094150106	72.3915710191734	2.84718386624053e-12	4.50293079153118e-09
ADAMTS1	2.4411232257639	4.30878139104335	71.7619771825556	3.32095267357687e-12	5.0576879236104e-09
SPP1	2.88534368222215	5.71276778106557	71.0187558794355	3.98634355216492e-12	5.85423024517934e-09
AEBP1	2.49721787552794	4.6519262307118	70.5459120248382	4.47982988159047e-12	6.15446496838038e-09
BACE2	1.86891742476749	3.71664120220762	70.5366285651828	4.49012522012188e-12	6.15446496838038e-09
STOM	1.87016786424916	4.43244822649641	70.1814239663669	4.90292132515548e-12	6.50348789969011e-09
DIP2A	0.905700498085123	6.57296933712015	69.6781828042574	5.55576687704086e-12	7.1391604369975e-09
ZC3HAV1	1.93742579578899	3.86215771827649	69.4091432891374	5.94089278188666e-12	7.40271246033878e-09
ICAM1	3.56183299995365	2.37186187762492	69.2833865016362	6.13024254510771e-12	7.4139874545538e-09
EMP1	3.1206631454353	2.56211387734097	67.6139608648183	9.32380079341249e-12	1.09541339607178e-08
ADARB1	0.865413148485105	6.52291026468023	67.4278109141271	9.77334213983832e-12	1.11633285775042e-08
SYT12	-1.17271164862526	5.79776534944067	66.9063943634482	1.11552668919159e-11	1.21204213923895e-08
AFF1	0.834104403677283	5.85208819375798	66.8903750386489	1.12007785240954e-11	1.21204213923895e-08
CD93	3.71140074693539	2.01940325275824	66.1854025357101	1.34054102093796e-11	1.41341145592228e-08
SOCS3	3.54972323881008	2.26962206272997	65.0640507477257	1.78762940447555e-11	1.83768302780087e-08
HLA-DRA	3.15758312819503	2.44501558105821	64.8582110891152	1.88512775857274e-11	1.890645205671e-08
SFT2D2	1.82142288507232	4.28756238070991	64.6525457429724	1.98802345222002e-11	1.94636962750684e-08
C1QC	2.8394488178207	3.19145570266591	64.4273896120752	2.10732759956445e-11	2.01519327660675e-08
IFITM3	2.41936384705974	3.87756153104252	63.7966781352382	2.48239129800378e-11	2.31990750395263e-08
