NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPFIA1	3116	2.565793752670288	0.008638098	No	
row_1	SLC5A7	3739	2.2225301265716553	0.06665524	No	
row_2	PPFIA2	12711	0.5114457607269287	-0.13476819	No	
row_3	UNC13B	14195	0.3885989487171173	-0.15805838	No	
row_4	CHAT	14391	0.3686634600162506	-0.15066877	No	
row_5	TSPOAP1	15713	0.26421573758125305	-0.17411146	No	
row_6	SLC18A3	20492	0.0	-0.290356	No	
row_7	VAMP2	31497	-0.10231437534093857	-0.5547062	No	
row_8	SYT1	33043	-0.22574985027313232	-0.5848647	No	
row_9	PPFIA4	33534	-0.27269694209098816	-0.5878107	No	
row_10	RAB3A	38010	-0.8493536114692688	-0.6687289	Yes	
row_11	PPFIA3	38362	-0.9636898636817932	-0.64555055	Yes	
row_12	SNAP25	40496	-2.4787344932556152	-0.6158623	Yes	
row_13	STX1A	40901	-4.084929466247559	-0.4912445	Yes	
row_14	RIMS1	40918	-4.322421550750732	-0.34937045	Yes	
row_15	CPLX1	41105	-10.762105941772461	3.1620878E-4	Yes	
