NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFV3	947	5.3110833168029785	0.07079707	No	
row_1	SLC25A51	4126	2.0406904220581055	0.029432477	No	
row_2	NDUFS7	5966	1.4612704515457153	0.0104520125	No	
row_3	UQCR11	7888	1.0652215480804443	-0.01752639	No	
row_4	NDUFA3	9912	0.7691879272460938	-0.053222314	No	
row_5	NDUFB4	12848	0.4944083094596863	-0.11599598	No	
row_6	COX7C	13584	0.4174783527851105	-0.12652573	No	
row_7	NDUFC1	15146	0.31195276975631714	-0.1590463	No	
row_8	UQCRC2	15907	0.24906153976917267	-0.17316188	No	
row_9	SDHAF2	15976	0.2410653680562973	-0.17055799	No	
row_10	UQCC3	16423	0.20638582110404968	-0.17777713	No	
row_11	NDUFS2	16444	0.2053299844264984	-0.17463532	No	
row_12	NDUFS4	16839	0.1759680211544037	-0.18112509	No	
row_13	NDUFS1	17014	0.16168905794620514	-0.18250687	No	
row_14	COX4I2	17071	0.15833602845668793	-0.1810728	No	
row_15	NDUFS5	17152	0.1536611169576645	-0.18030614	No	
row_16	COX5A	17597	0.12352585792541504	-0.18894106	No	
row_17	SDHD	17932	0.10522188246250153	-0.19521932	No	
row_18	NDUFB10	17946	0.10431556403636932	-0.19369234	No	
row_19	SDHA	18076	0.09720123559236526	-0.19511747	No	
row_20	NDUFA9	18531	0.06713693588972092	-0.2049927	No	
row_21	NDUFB7	18605	0.061661168932914734	-0.20568153	No	
row_22	NDUFV2	18886	0.04496108740568161	-0.21170914	No	
row_23	NDUFA7	19437	0.01778760552406311	-0.22479565	No	
row_24	NDUFB1	19572	0.013554089702665806	-0.22782105	No	
row_25	UQCR10	19748	0.004474025685340166	-0.2320059	No	
row_26	COX4I1	19792	0.002396475523710251	-0.23301125	No	
row_27	NDUFA10	30334	-0.02643563412129879	-0.48937848	No	
row_28	COX7A2	30442	-0.0331248976290226	-0.4914001	No	
row_29	SDHB	30450	-0.03377562388777733	-0.49097368	No	
row_30	NDUFC2	30482	-0.03578716516494751	-0.4910965	No	
row_31	NDUFA6	30629	-0.04536982625722885	-0.49385193	No	
row_32	COX6B1	30757	-0.05359750613570213	-0.495999	No	
row_33	COX6A1	31011	-0.06930166482925415	-0.50093853	No	
row_34	NDUFA5	31037	-0.07094688713550568	-0.50029373	No	
row_35	COX7B	31853	-0.13105644285678864	-0.5178351	No	
row_36	COX6C	31924	-0.13706524670124054	-0.5171181	No	
row_37	UQCRQ	32165	-0.15333133935928345	-0.5202557	No	
row_38	NDUFS3	32318	-0.16606959700584412	-0.521024	No	
row_39	NDUFB9	32334	-0.16798074543476105	-0.5184205	No	
row_40	NDUFB8	32411	-0.17342564463615417	-0.517207	No	
row_41	NDUFA2	32452	-0.17653800547122955	-0.51506144	No	
row_42	CYC1	33006	-0.2215767502784729	-0.52461916	No	
row_43	UQCRB	33054	-0.22675833106040955	-0.5217565	No	
row_44	NDUFAF1	33232	-0.2444668859243393	-0.5217483	No	
row_45	CYCS	33481	-0.2693813443183899	-0.5230297	No	
row_46	UQCRFS1	33562	-0.27628251910209656	-0.5200957	No	
row_47	NDUFA1	33881	-0.31193533539772034	-0.5223306	No	
row_48	NDUFV1	33954	-0.32061296701431274	-0.5184182	No	
row_49	UQCRC1	34128	-0.34431079030036926	-0.51654786	No	
row_50	NDUFS8	34880	-0.39172112941741943	-0.5279227	Yes	
row_51	COX6A2	35051	-0.4142957031726837	-0.5247423	Yes	
row_52	NDUFB5	35262	-0.4443920850753784	-0.52200454	Yes	
row_53	NDUFS6	35571	-0.46388915181159973	-0.52131003	Yes	
row_54	NDUFAB1	35626	-0.4735909402370453	-0.5142553	Yes	
row_55	UQCRFS1P1	36088	-0.5520148277282715	-0.51573104	Yes	
row_56	NDUFA8	36167	-0.5670413970947266	-0.5076093	Yes	
row_57	SDHC	36655	-0.6105731725692749	-0.5086836	Yes	
row_58	NDUFB2	36804	-0.6432116627693176	-0.5009212	Yes	
row_59	NDUFB3	38312	-0.9454566240310669	-0.52092916	Yes	
row_60	NDUFA4	38318	-0.9484603404998779	-0.5042874	Yes	
row_61	COX5B	38804	-1.1001616716384888	-0.4966597	Yes	
row_62	UQCRHL	38828	-1.1099389791488647	-0.47760242	Yes	
row_63	NDUFB6	38834	-1.11394464969635	-0.4580358	Yes	
row_64	MT-ND3	39125	-1.204683542251587	-0.44380948	Yes	
row_65	MT-ND2	39407	-1.3557692766189575	-0.42669353	Yes	
row_66	UQCRH	39461	-1.3836065530776978	-0.40353027	Yes	
row_67	MT-ND4L	39523	-1.4193358421325684	-0.37993044	Yes	
row_68	MT-ND5	39942	-1.7276884317398071	-0.359579	Yes	
row_69	MT-ND4	40162	-1.9566621780395508	-0.3303319	Yes	
row_70	MT-ND1	40391	-2.2943005561828613	-0.29533646	Yes	
row_71	MT-CO1	40400	-2.3168227672576904	-0.25458258	Yes	
row_72	COX8A	40579	-2.6867659091949463	-0.21143222	Yes	
row_73	MT-CYB	40649	-2.8887364864349365	-0.16205631	Yes	
row_74	MT-CO2	40652	-2.8999128341674805	-0.110850394	Yes	
row_75	MT-ND6	40672	-2.9669294357299805	-0.058874194	Yes	
row_76	MT-CO3	40873	-3.944462299346924	0.005969338	Yes	
