NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFV3	947	5.3110833168029785	0.031019246	No	
row_1	ATP5PO	2026	3.454003095626831	0.039917793	No	
row_2	C2orf69	2197	3.2821638584136963	0.06921748	No	
row_3	ACO2	3023	2.6394214630126953	0.07598736	No	
row_4	OGDH	3125	2.56032657623291	0.099614486	No	
row_5	SLC25A51	4126	2.0406904220581055	0.09601351	No	
row_6	SUCLG2	4481	1.9064420461654663	0.106804796	No	
row_7	ATP5PF	4796	1.799880027770996	0.117486015	No	
row_8	DLST	4828	1.788137435913086	0.13495187	No	
row_9	SIRT3	4913	1.7616506814956665	0.15085478	No	
row_10	NDUFS7	5966	1.4612704515457153	0.14008054	No	
row_11	SUCLG1	6778	1.2643659114837646	0.13317937	No	
row_12	UQCR11	7888	1.0652215480804443	0.11697855	No	
row_13	ME3	8733	0.9173369407653809	0.10573585	No	
row_14	NDUFA3	9912	0.7691879272460938	0.0848349	No	
row_15	NDUFB11	10122	0.7442057728767395	0.08731986	No	
row_16	NDUFA11	12796	0.4992775619029999	0.027195167	No	
row_17	NDUFB4	12848	0.4944083094596863	0.030989237	No	
row_18	DLAT	13279	0.44789549708366394	0.025062932	No	
row_19	COX7C	13584	0.4174783527851105	0.021900652	No	
row_20	MTFR1	14405	0.36759039759635925	0.0056412434	No	
row_21	NDUFC1	15146	0.31195276975631714	-0.009233402	No	
row_22	UQCRC2	15907	0.24906153976917267	-0.025236882	No	
row_23	SDHAF2	15976	0.2410653680562973	-0.024439268	No	
row_24	NDUFA13	16420	0.20698882639408112	-0.03313771	No	
row_25	UQCC3	16423	0.20638582110404968	-0.031083314	No	
row_26	NDUFS2	16444	0.2053299844264984	-0.029478818	No	
row_27	NDUFS4	16839	0.1759680211544037	-0.037297938	No	
row_28	CS	16946	0.16809964179992676	-0.038170964	No	
row_29	SURF1	16961	0.16594970226287842	-0.036821395	No	
row_30	NDUFS1	17014	0.16168905794620514	-0.036442325	No	
row_31	COX4I2	17071	0.15833602845668793	-0.03619501	No	
row_32	NDUFS5	17152	0.1536611169576645	-0.036580857	No	
row_33	MFN2	17223	0.14971581101417542	-0.03676294	No	
row_34	MTFR1L	17472	0.13059833645820618	-0.041482475	No	
row_35	COX5A	17597	0.12352585792541504	-0.043248877	No	
row_36	OXA1L	17798	0.11427272111177444	-0.04696373	No	
row_37	SDHD	17932	0.10522188246250153	-0.04913623	No	
row_38	NDUFB10	17946	0.10431556403636932	-0.04839035	No	
row_39	SDHA	18076	0.09720123559236526	-0.050547	No	
row_40	NDUFA9	18531	0.06713693588972092	-0.06093898	No	
row_41	COA6	18552	0.06511175632476807	-0.06076339	No	
row_42	NDUFB7	18605	0.061661168932914734	-0.06140366	No	
row_43	ATP5MG	18865	0.046051084995269775	-0.06725314	No	
row_44	NIPSNAP2	18877	0.04522522911429405	-0.067060634	No	
row_45	NDUFV2	18886	0.04496108740568161	-0.06679763	No	
row_46	FH	19128	0.031867727637290955	-0.072352506	No	
row_47	NDUFA7	19437	0.01778760552406311	-0.07968545	No	
row_48	SLC25A14	19523	0.016194108873605728	-0.08159415	No	
row_49	NDUFB1	19572	0.013554089702665806	-0.08262707	No	
row_50	ATP5PB	19654	0.009255659766495228	-0.08450889	No	
row_51	UQCR10	19748	0.004474025685340166	-0.0867322	No	
row_52	COX4I1	19792	0.002396475523710251	-0.08775684	No	
row_53	ATP5F1EP2	20348	0.0	-0.10129706	No	
row_54	ATP5F1E	29878	-0.00641279574483633	-0.3337087	No	
row_55	NDUFA10	30334	-0.02643563412129879	-0.34453985	No	
row_56	COX7A2	30442	-0.0331248976290226	-0.34681275	No	
row_57	SDHB	30450	-0.03377562388777733	-0.34663934	No	
row_58	NDUFA12	30457	-0.03421977907419205	-0.346437	No	
row_59	NDUFC2	30482	-0.03578716516494751	-0.34665784	No	
row_60	NNT	30523	-0.038451798260211945	-0.34724185	No	
row_61	NDUFA6	30629	-0.04536982625722885	-0.34934118	No	
