NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC11A1	26	15.252406120300293	0.07329907	Yes	
row_1	HLA-DRA	43	13.959627151489258	0.14057526	Yes	
row_2	B2M	65	12.894807815551758	0.20256823	Yes	
row_3	HLA-E	115	11.227614402770996	0.25579792	Yes	
row_4	HLA-B	123	10.963191986083984	0.30876884	Yes	
row_5	IFI30	148	10.386608123779297	0.35853085	Yes	
row_6	FCER1G	353	7.9354119300842285	0.39202723	Yes	
row_7	HLA-DPA1	361	7.864948749542236	0.42998016	Yes	
row_8	HLA-DQA1	372	7.805330276489258	0.46757105	Yes	
row_9	TAP1	394	7.593826770782471	0.5038688	Yes	
row_10	MARCHF1	905	5.408071517944336	0.51766163	Yes	
row_11	HLA-DMB	1081	4.962231636047363	0.5374526	Yes	
row_12	HLA-DRB5	1136	4.847248554229736	0.55963326	Yes	
row_13	MARCHF8	1150	4.804039478302002	0.58260304	Yes	
row_14	HLA-DRB1	1254	4.608025074005127	0.60243064	Yes	
row_15	HLA-DPB1	1264	4.585425853729248	0.62443817	Yes	
row_16	HLA-F	1447	4.237749099731445	0.6405469	Yes	
row_17	HLA-DOA	1611	3.9851038455963135	0.65589374	Yes	
row_18	CD209	1687	3.8720273971557617	0.67283577	Yes	
row_19	ULBP3	1697	3.852386951446533	0.6912901	Yes	
row_20	LNPEP	1997	3.472357749938965	0.7008391	Yes	
row_21	HLA-DQB1	2017	3.461005926132202	0.7171527	Yes	
row_22	HLA-DMA	2059	3.4242162704467773	0.73275214	Yes	
row_23	HLA-C	2405	3.0976908206939697	0.73936474	Yes	
row_24	CTSS	2503	3.0106611251831055	0.7515957	Yes	
row_25	IDE	2700	2.8534624576568604	0.7606534	Yes	
row_26	FCGR2B	2716	2.8429791927337646	0.7740687	Yes	
row_27	PIKFYVE	3013	2.649653434753418	0.77970296	Yes	
row_28	HLA-A	3239	2.485276699066162	0.78626966	Yes	
row_29	TAP2	3446	2.3710501194000244	0.7927455	Yes	
row_30	CALR	3779	2.20343279838562	0.79533994	Yes	
row_31	LGMN	3799	2.1934518814086914	0.8055094	Yes	
row_32	HLA-DOB	4391	1.938612699508667	0.8005121	Yes	
row_33	RAET1E	4526	1.893480658531189	0.8064266	Yes	
row_34	ERAP1	4560	1.8820977210998535	0.81474584	Yes	
row_35	IKBKB	5750	1.5262724161148071	0.79318506	No	
row_36	PDIA3	5958	1.463356375694275	0.79523665	No	
row_37	AZGP1	6053	1.4473564624786377	0.79996294	No	
row_38	ACE	6772	1.266156554222107	0.78861284	No	
row_39	ULBP1	7585	1.1115083694458008	0.77422374	No	
row_40	ERAP2	9422	0.8409093618392944	0.7335826	No	
row_41	HLA-H	9855	0.7761605381965637	0.72682315	No	
row_42	DNM2	10134	0.7426702976226807	0.7236521	No	
row_43	HLA-DQA2	10611	0.6819884777069092	0.7153646	No	
row_44	HLA-DQB2	11523	0.5932875275611877	0.69605225	No	
row_45	MFSD6	14045	0.400871604681015	0.6365944	No	
row_46	CTSF	14451	0.3631039261817932	0.6284904	No	
row_47	TAPBPL	14991	0.3267119824886322	0.6169463	No	
row_48	HLA-G	17988	0.10332292318344116	0.54447716	No	
row_49	CTSD	19095	0.03321153670549393	0.5177007	No	
row_50	MPEG1	19617	0.011302569881081581	0.5050661	No	
row_51	CTSE	20538	0.0	0.48265874	No	
row_52	CTSV	30976	-0.06672536581754684	0.2287808	No	
row_53	TAPBP	31590	-0.10835196822881699	0.21437591	No	
row_54	RAET1L	31756	-0.1216830164194107	0.21094704	No	
row_55	CLEC4M	31937	-0.13815250992774963	0.20723265	No	
row_56	SAR1B	32621	-0.1886131316423416	0.19151191	No	
row_57	RAET1G	33718	-0.29229485988616943	0.16623479	No	
row_58	CLEC4A	36824	-0.6454538106918335	0.09373875	No	
row_59	ULBP2	37045	-0.6885799169540405	0.0917182	No	
row_60	CTSL	39709	-1.5387216806411743	0.034317307	No	
