NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD74	1	20.545452117919922	0.07416854	Yes	
row_1	SLC11A1	26	15.252406120300293	0.12866253	Yes	
row_2	HLA-DRA	43	13.959627151489258	0.17868304	Yes	
row_3	B2M	65	12.894807815551758	0.22473647	Yes	
row_4	HLA-E	115	11.227614402770996	0.26408702	Yes	
row_5	HLA-B	123	10.963191986083984	0.30350626	Yes	
row_6	IFI30	148	10.386608123779297	0.34042907	Yes	
row_7	FCER1G	353	7.9354119300842285	0.3641135	Yes	
row_8	HLA-DPA1	361	7.864948749542236	0.3923445	Yes	
row_9	HLA-DQA1	372	7.805330276489258	0.42028707	Yes	
row_10	TAP1	394	7.593826770782471	0.44719782	Yes	
row_11	MR1	483	7.040091037750244	0.4704761	Yes	
row_12	RAB8B	546	6.712229251861572	0.49320406	Yes	
row_13	RAB3B	615	6.426548957824707	0.5147541	Yes	
row_14	MARCHF1	905	5.408071517944336	0.52724046	Yes	
row_15	HLA-DMB	1081	4.962231636047363	0.540895	Yes	
row_16	HLA-DRB5	1136	4.847248554229736	0.5570832	Yes	
row_17	MARCHF8	1150	4.804039478302002	0.5741145	Yes	
row_18	HLA-DRB1	1254	4.608025074005127	0.5882446	Yes	
row_19	HLA-DPB1	1264	4.585425853729248	0.60458404	Yes	
row_20	WDFY4	1322	4.4835286140441895	0.6193856	Yes	
row_21	HLA-F	1447	4.237749099731445	0.63166684	Yes	
row_22	HLA-DOA	1611	3.9851038455963135	0.6420853	Yes	
row_23	CD209	1687	3.8720273971557617	0.65424	Yes	
row_24	ULBP3	1697	3.852386951446533	0.6679323	Yes	
row_25	LNPEP	1997	3.472357749938965	0.6731847	Yes	
row_26	HLA-DQB1	2017	3.461005926132202	0.6852199	Yes	
row_27	HLA-DMA	2059	3.4242162704467773	0.6965861	Yes	
row_28	CTSH	2188	3.2883121967315674	0.7053413	Yes	
row_29	HLA-C	2405	3.0976908206939697	0.7112635	Yes	
row_30	CTSS	2503	3.0106611251831055	0.7197715	Yes	
row_31	IDE	2700	2.8534624576568604	0.7252991	Yes	
row_32	FCGR2B	2716	2.8429791927337646	0.73520005	Yes	
row_33	RAB27A	2744	2.825775146484375	0.7447464	Yes	
row_34	PIKFYVE	3013	2.649653434753418	0.74778336	Yes	
row_35	RAB32	3052	2.6205403804779053	0.7563205	Yes	
row_36	RAB10	3076	2.5974369049072266	0.7651397	Yes	
row_37	HLA-A	3239	2.485276699066162	0.7701664	Yes	
row_38	TAP2	3446	2.3710501194000244	0.7737083	Yes	
row_39	FCER2	3577	2.3009564876556396	0.7788492	Yes	
row_40	CALR	3779	2.20343279838562	0.7819077	Yes	
row_41	LGMN	3799	2.1934518814086914	0.78936553	Yes	
row_42	HLA-DOB	4391	1.938612699508667	0.7819631	Yes	
row_43	RAET1E	4526	1.893480658531189	0.7855351	Yes	
row_44	ERAP1	4560	1.8820977210998535	0.79152745	Yes	
row_45	RAB5B	5661	1.5457886457443237	0.7703018	No	
row_46	IKBKB	5750	1.5262724161148071	0.7736688	No	
row_47	PDIA3	5958	1.463356375694275	0.77390856	No	
row_48	AZGP1	6053	1.4473564624786377	0.7768443	No	
row_49	ACE	6772	1.266156554222107	0.7639185	No	
row_50	ULBP1	7585	1.1115083694458008	0.7481434	No	
row_51	ERAP2	9422	0.8409093618392944	0.70643556	No	
row_52	HLA-H	9855	0.7761605381965637	0.6987103	No	
row_53	DNM2	10134	0.7426702976226807	0.69461715	No	
row_54	HLA-DQA2	10611	0.6819884777069092	0.6854795	No	
row_55	CD8A	11436	0.6041467189788818	0.66757977	No	
row_56	HLA-DQB2	11523	0.5932875275611877	0.6676264	No	
row_57	RAB3C	11679	0.5772923231124878	0.6659336	No	
row_58	CD1C	12078	0.5321807861328125	0.6581559	No	
row_59	RAB4A	13085	0.46709224581718445	0.6353258	No	
row_60	CD1D	13215	0.4535505175590515	0.6338198	No	
row_61	MFSD6	14045	0.400871604681015	0.6150642	No	
row_62	RAB34	14211	0.38627517223358154	0.61243796	No	
row_63	CTSF	14451	0.3631039261817932	0.6079246	No	
row_64	TAPBPL	14991	0.3267119824886322	0.5959686	No	
row_65	RAB33A	15303	0.29754438996315	0.58946383	No	
row_66	RAB6A	15457	0.2864471673965454	0.5867695	No	
row_67	ARL8B	17210	0.15036900341510773	0.5446152	No	
row_68	HLA-G	17988	0.10332292318344116	0.52605236	No	
row_69	CTSD	19095	0.03321153670549393	0.49921834	No	
row_70	MPEG1	19617	0.011302569881081581	0.48656207	No	
row_71	CD1A	20099	0.0	0.4748398	No	
row_72	CD1B	20100	0.0	0.4748398	No	
row_73	CD1E	20101	0.0	0.4748398	No	
row_74	CTSE	20538	0.0	0.4642142	No	
row_75	CTSV	30976	-0.06672536581754684	0.2100989	No	
row_76	TAPBP	31590	-0.10835196822881699	0.195551	No	
row_77	RAET1L	31756	-0.1216830164194107	0.19196926	No	
row_78	CLEC4M	31937	-0.13815250992774963	0.18808143	No	
row_79	SAR1B	32621	-0.1886131316423416	0.1721174	No	
row_80	RAB35	33375	-0.2595970928668976	0.15470377	No	
row_81	RAET1G	33718	-0.29229485988616943	0.14742453	No	
row_82	CLEC4A	36824	-0.6454538106918335	0.07408457	No	
row_83	ULBP2	37045	-0.6885799169540405	0.0712096	No	
row_84	CTSL	39709	-1.5387216806411743	0.011867188	No	
row_85	RFTN1	41043	-6.21593713760376	0.0018278813	No	
