NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFV3	947	5.3110833168029785	0.07413191	No	
row_1	NDUFS7	5966	1.4612704515457153	-0.021391079	No	
row_2	UQCR11	7888	1.0652215480804443	-0.04870165	No	
row_3	NDUFA3	9912	0.7691879272460938	-0.08391572	No	
row_4	NDUFB4	12848	0.4944083094596863	-0.14638063	No	
row_5	COX7C	13584	0.4174783527851105	-0.15664864	No	
row_6	NDUFC1	15146	0.31195276975631714	-0.18897423	No	
row_7	UQCRC2	15907	0.24906153976917267	-0.20293383	No	
row_8	SDHAF2	15976	0.2410653680562973	-0.20017861	No	
row_9	UQCC3	16423	0.20638582110404968	-0.2072684	No	
row_10	NDUFS2	16444	0.2053299844264984	-0.20399766	No	
row_11	NDUFS4	16839	0.1759680211544037	-0.21037714	No	
row_12	NDUFS1	17014	0.16168905794620514	-0.21165748	No	
row_13	COX4I2	17071	0.15833602845668793	-0.21012402	No	
row_14	NDUFS5	17152	0.1536611169576645	-0.2092609	No	
row_15	COX5A	17597	0.12352585792541504	-0.21781851	No	
row_16	SDHD	17932	0.10522188246250153	-0.22403088	No	
row_17	NDUFB10	17946	0.10431556403636932	-0.2224384	No	
row_18	SDHA	18076	0.09720123559236526	-0.22380257	No	
row_19	NDUFA9	18531	0.06713693588972092	-0.2336359	No	
row_20	COA6	18552	0.06511175632476807	-0.23293151	No	
row_21	NDUFB7	18605	0.061661168932914734	-0.23306997	No	
row_22	NDUFV2	18886	0.04496108740568161	-0.23906952	No	
row_23	NDUFA7	19437	0.01778760552406311	-0.2521452	No	
row_24	NDUFB1	19572	0.013554089702665806	-0.25516215	No	
row_25	UQCR10	19748	0.004474025685340166	-0.25934428	No	
row_26	COX4I1	19792	0.002396475523710251	-0.26034814	No	
row_27	NDUFA10	30334	-0.02643563412129879	-0.51670504	No	
row_28	COX7A2	30442	-0.0331248976290226	-0.5187059	No	
row_29	SDHB	30450	-0.03377562388777733	-0.5182583	No	
row_30	NDUFA12	30457	-0.03421977907419205	-0.51777816	No	
row_31	NDUFC2	30482	-0.03578716516494751	-0.51770794	No	
row_32	NDUFA6	30629	-0.04536982625722885	-0.520435	No	
row_33	COX6B1	30757	-0.05359750613570213	-0.5225485	No	
row_34	COX6A1	31011	-0.06930166482925415	-0.52744466	No	
row_35	NDUFA5	31037	-0.07094688713550568	-0.5267553	No	
row_36	COX7B	31853	-0.13105644285678864	-0.54421484	No	
row_37	COX6C	31924	-0.13706524670124054	-0.5434118	No	
row_38	UQCRQ	32165	-0.15333133935928345	-0.54645324	No	
row_39	NDUFS3	32318	-0.16606959700584412	-0.54711735	No	
row_40	NDUFB9	32334	-0.16798074543476105	-0.5444084	No	
row_41	NDUFB8	32411	-0.17342564463615417	-0.54308605	No	
row_42	NDUFA2	32452	-0.17653800547122955	-0.5408296	No	
row_43	CYC1	33006	-0.2215767502784729	-0.5502485	No	
row_44	UQCRB	33054	-0.22675833106040955	-0.5472434	No	
row_45	NDUFAF1	33232	-0.2444668859243393	-0.5470818	No	
row_46	CYCS	33481	-0.2693813443183899	-0.54819417	No	
row_47	UQCRFS1	33562	-0.27628251910209656	-0.5450868	No	
row_48	NDUFA1	33881	-0.31193533539772034	-0.54712594	No	
row_49	NDUFV1	33954	-0.32061296701431274	-0.5430122	No	
row_50	UQCRC1	34128	-0.34431079030036926	-0.54092574	No	
row_51	NDUFS8	34880	-0.39172112941741943	-0.55205506	Yes	
row_52	COX6A2	35051	-0.4142957031726837	-0.54861456	Yes	
row_53	NDUFB5	35262	-0.4443920850753784	-0.5455979	Yes	
row_54	NDUFS6	35571	-0.46388915181159973	-0.5446122	Yes	
row_55	NDUFAB1	35626	-0.4735909402370453	-0.53726006	Yes	
row_56	UQCRFS1P1	36088	-0.5520148277282715	-0.53838944	Yes	
row_57	NDUFA8	36167	-0.5670413970947266	-0.5299117	Yes	
row_58	SDHC	36655	-0.6105731725692749	-0.5306028	Yes	
row_59	NDUFB2	36804	-0.6432116627693176	-0.52243656	Yes	
row_60	NDUFB3	38312	-0.9454566240310669	-0.54185164	Yes	
row_61	NDUFA4	38318	-0.9484603404998779	-0.5246142	Yes	
row_62	COX5B	38804	-1.1001616716384888	-0.5162959	Yes	
row_63	UQCRHL	38828	-1.1099389791488647	-0.4965416	Yes	
row_64	NDUFB6	38834	-1.11394464969635	-0.47627538	Yes	
row_65	MT-ND3	39125	-1.204683542251587	-0.4612927	Yes	
row_66	MT-ND2	39407	-1.3557692766189575	-0.44332546	Yes	
row_67	UQCRH	39461	-1.3836065530776978	-0.41929334	Yes	
row_68	MT-ND4L	39523	-1.4193358421325684	-0.39480218	Yes	
row_69	MT-ND5	39942	-1.7276884317398071	-0.373366	Yes	
row_70	MT-ND4	40162	-1.9566621780395508	-0.3428902	Yes	
row_71	MT-ND1	40391	-2.2943005561828613	-0.30645406	Yes	
row_72	MT-CO1	40400	-2.3168227672576904	-0.2642452	Yes	
row_73	COX8A	40579	-2.6867659091949463	-0.21940765	Yes	
row_74	MT-CYB	40649	-2.8887364864349365	-0.16821763	Yes	
row_75	MT-CO2	40652	-2.8999128341674805	-0.11519055	Yes	
row_76	MT-ND6	40672	-2.9669294357299805	-0.061351106	Yes	
row_77	MT-CO3	40873	-3.944462299346924	0.0059694606	Yes	
