NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAPGEF2	3947	2.1256494522094727	-0.04514706	No	
row_1	PDE3B	4914	1.761154055595398	-0.02648136	No	
row_2	PDE11A	4996	1.7323851585388184	0.013031429	No	
row_3	PDE1A	5372	1.6227728128433228	0.042765096	No	
row_4	PDE2A	7009	1.2138713598251343	0.032021422	No	
row_5	PDE6C	8416	0.9685130715370178	0.020999297	No	
row_6	PDE3A	8664	0.9285551309585571	0.037223965	No	
row_7	CAP1	9023	0.8738399744033813	0.049437296	No	
row_8	PDE5A	9955	0.762418270111084	0.045038868	No	
row_9	PDE8A	13971	0.4085431396961212	-0.042880945	No	
row_10	PDE8B	14283	0.37987983226776123	-0.041352317	No	
row_11	PDE1C	14888	0.33325377106666565	-0.048070196	No	
row_12	PDE9A	15339	0.29579129815101624	-0.05193765	No	
row_13	PDE4D	18493	0.06992974132299423	-0.12698963	No	
row_14	PDE7A	19227	0.026828903704881668	-0.14418434	No	
row_15	PDE1B	19272	0.025188680738210678	-0.14465189	No	
row_16	CGAS	32160	-0.15292730927467346	-0.45458797	No	
row_17	PDE4C	33670	-0.289593368768692	-0.48437402	No	
row_18	PDE4A	36816	-0.6440051198005676	-0.5454845	No	
row_19	PDE6A	37136	-0.7117447257041931	-0.5362036	No	
row_20	CAP2	38522	-0.9972481727600098	-0.54602665	Yes	
row_21	PDE4B	39573	-1.4517725706100464	-0.53681356	Yes	
row_22	PDE7B	40977	-4.987881183624268	-0.45151445	Yes	
row_23	PDE6B	41032	-5.919876575469971	-0.31107053	Yes	
row_24	PDE10A	41116	-13.07681941986084	4.8621332E-5	Yes	
