NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QB	16	15.98809814453125	0.2231841	Yes	
row_1	C1QC	30	15.000843048095703	0.43263575	Yes	
row_2	C1R	147	10.38666820526123	0.57505465	Yes	
row_3	C1QA	181	9.887930870056152	0.71252126	Yes	
row_4	IGHG4	839	5.628810405731201	0.77522796	Yes	
row_5	C1S	1341	4.444140911102295	0.8251689	Yes	
row_6	IGHG1	2037	3.4405922889709473	0.85635036	Yes	
row_7	CRP	9225	0.861690878868103	0.6933166	No	
row_8	IGHG3	10317	0.7169769406318665	0.67676467	No	
row_9	IGHG2	11663	0.579268217086792	0.6520993	No	
row_10	IGHV3-33	12195	0.5321807861328125	0.64660543	No	
row_11	IGLV3-19	12339	0.5321807861328125	0.65056366	No	
row_12	IGLV1-47	12368	0.5321807861328125	0.6573235	No	
row_13	IGKV3-11	12394	0.5321807861328125	0.6641563	No	
row_14	IGKV2-29	13898	0.41064372658729553	0.6332839	No	
row_15	IGHV1-69	14716	0.33938294649124146	0.6181267	No	
row_16	IGKC	21920	0.0	0.44265348	No	
row_17	IGKV4-1	21926	0.0	0.44253168	No	
row_18	IGKV5-2	21927	0.0	0.44253168	No	
row_19	IGKV3D-20	21929	0.0	0.44250733	No	
row_20	IGLV1-44	21938	0.0	0.44231242	No	
row_21	IGLV7-43	21939	0.0	0.44231242	No	
row_22	IGLV3-27	21944	0.0	0.44221497	No	
row_23	IGLV3-25	21945	0.0	0.44221497	No	
row_24	IGLV2-23	21946	0.0	0.44221497	No	
row_25	IGLV3-21	21948	0.0	0.44219062	No	
row_26	IGLV2-14	21951	0.0	0.4421419	No	
row_27	IGLV2-11	21953	0.0	0.44211754	No	
row_28	IGLV3-1	21957	0.0	0.44204444	No	
row_29	IGLC1	21959	0.0	0.4420201	No	
row_30	IGLC2	21961	0.0	0.44199574	No	
row_31	IGLC3	21963	0.0	0.44197136	No	
row_32	IGLC7	21968	0.0	0.4418739	No	
row_33	IGHV1-2	22119	0.0	0.43821976	No	
row_34	IGHV2-5	22121	0.0	0.43819538	No	
row_35	IGHV3-7	22122	0.0	0.43819538	No	
row_36	IGHV3-11	22123	0.0	0.43819538	No	
row_37	IGHV3-13	22124	0.0	0.43819538	No	
row_38	IGHV3-23	22130	0.0	0.43807358	No	
row_39	IGHV4-34	22134	0.0	0.4380005	No	
row_40	IGHV4-39	22137	0.0	0.43795177	No	
row_41	IGHV1-46	22139	0.0	0.43792742	No	
row_42	IGHV3-48	22140	0.0	0.43792742	No	
row_43	IGHV3-53	22143	0.0	0.4378787	No	
row_44	IGHV7-81	22148	0.0	0.43778124	No	
row_45	IGLC6	22762	0.0	0.42284787	No	
row_46	IGHV4-59	23210	0.0	0.41195846	No	
row_47	IGKV2D-30	25367	0.0	0.35943586	No	
row_48	IGKV3-20	25400	0.0	0.3586563	No	
row_49	IGKV1D-33	25404	0.0	0.3585832	No	
row_50	IGKV1-17	25448	0.0	0.3575357	No	
row_51	IGKV1-16	25502	0.0	0.35624456	No	
row_52	IGKV1D-16	25540	0.0	0.3553432	No	
row_53	IGKV1-33	25614	0.0	0.35356483	No	
row_54	IGKV1-39	25656	0.0	0.35256603	No	
row_55	IGKV2D-28	25670	0.0	0.35224932	No	
row_56	IGKV2-30	25745	0.0	0.3504466	No	
row_57	IGKV1-12	25751	0.0	0.3503248	No	
row_58	IGKV1-5	25763	0.0	0.35005683	No	
row_59	IGKV2-28	25830	0.0	0.348449	No	
row_60	IGKV3-15	25865	0.0	0.3476207	No	
row_61	IGKV2D-40	26190	0.0	0.3397277	No	
row_62	IGKV1D-39	26244	0.0	0.33843657	No	
row_63	IGHV3-30	28585	0.0	0.28143153	No	
row_64	IGHV2-70	28840	0.0	0.2752438	No	
row_65	IGLV2-8	29143	0.0	0.26788673	No	
row_66	IGKV1D-12	29201	0.0	0.26649815	No	
row_67	IGLV1-51	29982	-0.011067071929574013	0.24765122	No	
row_68	IGLV6-57	37442	-0.7209598422050476	0.07602329	No	
row_69	IGLV1-40	38439	-0.9656808376312256	0.065263465	No	
