NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QB	16	15.98809814453125	0.20822051	Yes	
row_1	C1QC	30	15.000843048095703	0.40363255	Yes	
row_2	C1R	147	10.38666820526123	0.5363299	Yes	
row_3	C1QA	181	9.887930870056152	0.66454214	Yes	
row_4	IGHG4	839	5.628810405731201	0.721978	Yes	
row_5	C1S	1341	4.444140911102295	0.7677575	Yes	
row_6	IGHG1	2037	3.4405922889709473	0.795716	Yes	
row_7	COLEC11	4578	1.8750988245010376	0.75829417	No	
row_8	FCN3	8149	1.016995906829834	0.68457973	No	
row_9	CRP	9225	0.861690878868103	0.6696302	No	
row_10	MASP1	10288	0.721447229385376	0.65316767	No	
row_11	IGHG3	10317	0.7169769406318665	0.66184044	No	
row_12	IGHG2	11663	0.579268217086792	0.6366273	No	
row_13	MBL2	12162	0.5321807861328125	0.63143724	No	
row_14	IGHV3-33	12195	0.5321807861328125	0.6376014	No	
row_15	IGLV3-19	12339	0.5321807861328125	0.64106095	No	
row_16	IGLV1-47	12368	0.5321807861328125	0.64732254	No	
row_17	IGKV3-11	12394	0.5321807861328125	0.6536572	No	
row_18	IGKV2-29	13898	0.41064372658729553	0.6223942	No	
row_19	IGHV1-69	14716	0.33938294649124146	0.606916	No	
row_20	COLEC10	17265	0.14654883742332458	0.5467454	No	
row_21	FCN2	20112	0.0	0.4774018	No	
row_22	IGKC	21920	0.0	0.43337372	No	
row_23	IGKV4-1	21926	0.0	0.4332519	No	
row_24	IGKV5-2	21927	0.0	0.4332519	No	
row_25	IGKV3D-20	21929	0.0	0.43322754	No	
row_26	IGLV1-44	21938	0.0	0.4330326	No	
row_27	IGLV7-43	21939	0.0	0.4330326	No	
row_28	IGLV3-27	21944	0.0	0.43293515	No	
row_29	IGLV3-25	21945	0.0	0.43293515	No	
row_30	IGLV2-23	21946	0.0	0.43293515	No	
row_31	IGLV3-21	21948	0.0	0.4329108	No	
row_32	IGLV2-14	21951	0.0	0.43286204	No	
row_33	IGLV2-11	21953	0.0	0.4328377	No	
row_34	IGLV3-1	21957	0.0	0.4327646	No	
row_35	IGLC1	21959	0.0	0.43274024	No	
row_36	IGLC2	21961	0.0	0.43271586	No	
row_37	IGLC3	21963	0.0	0.43269148	No	
row_38	IGLC7	21968	0.0	0.43259403	No	
row_39	IGHV1-2	22119	0.0	0.42893925	No	
row_40	IGHV2-5	22121	0.0	0.42891487	No	
row_41	IGHV3-7	22122	0.0	0.42891487	No	
row_42	IGHV3-11	22123	0.0	0.42891487	No	
row_43	IGHV3-13	22124	0.0	0.42891487	No	
row_44	IGHV3-23	22130	0.0	0.42879304	No	
row_45	IGHV4-34	22134	0.0	0.42871997	No	
row_46	IGHV4-39	22137	0.0	0.42867124	No	
row_47	IGHV1-46	22139	0.0	0.42864686	No	
row_48	IGHV3-48	22140	0.0	0.42864686	No	
row_49	IGHV3-53	22143	0.0	0.42859814	No	
row_50	IGHV7-81	22148	0.0	0.42850068	No	
row_51	IGLC6	22762	0.0	0.41356474	No	
row_52	IGHV4-59	23210	0.0	0.40267348	No	
row_53	IGKV2D-30	25367	0.0	0.3501419	No	
row_54	IGKV3-20	25400	0.0	0.34936222	No	
row_55	IGKV1D-33	25404	0.0	0.34928912	No	
row_56	IGKV1-17	25448	0.0	0.34824142	No	
row_57	IGKV1-16	25502	0.0	0.34695005	No	
row_58	IGKV1D-16	25540	0.0	0.34604853	No	
row_59	IGKV1-33	25614	0.0	0.34426987	No	
row_60	IGKV1-39	25656	0.0	0.3432709	No	
row_61	IGKV2D-28	25670	0.0	0.34295416	No	
row_62	IGKV2-30	25745	0.0	0.34115112	No	
row_63	IGKV1-12	25751	0.0	0.3410293	No	
row_64	IGKV1-5	25763	0.0	0.34076127	No	
row_65	IGKV2-28	25830	0.0	0.33915317	No	
row_66	IGKV3-15	25865	0.0	0.33832476	No	
row_67	IGKV2D-40	26190	0.0	0.3304304	No	
row_68	IGKV1D-39	26244	0.0	0.32913902	No	
row_69	IGHV3-30	28585	0.0	0.27212426	No	
row_70	IGHV2-70	28840	0.0	0.26593548	No	
row_71	IGLV2-8	29143	0.0	0.25857717	No	
row_72	IGKV1D-12	29201	0.0	0.25718835	No	
row_73	IGLV1-51	29982	-0.011067071929574013	0.23832783	No	
row_74	IGLV6-57	37442	-0.7209598422050476	0.06599415	No	
row_75	FCN1	37932	-0.8372116088867188	0.06500334	No	
row_76	IGLV1-40	38439	-0.9656808376312256	0.06527457	No	
