NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAPK3	70	12.715005874633789	0.06952613	Yes	
row_1	CDKN1A	117	11.19759464263916	0.13113613	Yes	
row_2	SOS1	275	8.659053802490234	0.17582096	Yes	
row_3	JUN	277	8.648982048034668	0.22424944	Yes	
row_4	STAT3	404	7.516852855682373	0.26329064	Yes	
row_5	FLT1	459	7.175245761871338	0.302172	Yes	
row_6	JUP	592	6.519476890563965	0.33547962	Yes	
row_7	KSR1	683	6.143916606903076	0.36770636	Yes	
row_8	NFKBIA	761	5.895081520080566	0.3988558	Yes	
row_9	REL	803	5.756171703338623	0.43010396	Yes	
row_10	RUNX1T1	933	5.332461357116699	0.45683482	Yes	
row_11	RELA	938	5.326930522918701	0.4865796	Yes	
row_12	PML	973	5.242444038391113	0.5151203	Yes	
row_13	MAPK1	1016	5.106966018676758	0.54270715	Yes	
row_14	CSF1R	1256	4.599367141723633	0.5626516	Yes	
row_15	IGF1R	1326	4.473705291748047	0.58603317	Yes	
row_16	SOS2	1348	4.4343037605285645	0.6103632	Yes	
row_17	BCL9	1443	4.242218494415283	0.6318389	Yes	
row_18	RAF1	1556	4.071331024169922	0.6519189	Yes	
row_19	FOXO1	1776	3.7331299781799316	0.6674977	Yes	
row_20	INSR	1937	3.5390512943267822	0.6834265	Yes	
row_21	MAP2K1	2155	3.329272747039795	0.6967916	Yes	
row_22	PYGO1	2162	3.325380325317383	0.71527463	Yes	
row_23	MYC	2499	3.0116498470306396	0.7239616	Yes	
row_24	PTEN	2576	2.9545159339904785	0.73866194	Yes	
row_25	KIT	2835	2.7707040309906006	0.7478991	Yes	
row_26	KDR	3147	2.547191619873047	0.7545931	Yes	
row_27	MDM2	3208	2.505643129348755	0.76716846	Yes	
row_28	SHC1	3325	2.4290831089019775	0.7779509	Yes	
row_29	EPHA2	3403	2.395815134048462	0.7894969	Yes	
row_30	FLT4	3514	2.3314366340637207	0.7998784	Yes	
row_31	ZBTB16	3912	2.141838550567627	0.80220664	Yes	
row_32	SRC	4270	1.995030403137207	0.8046868	Yes	
row_33	CSNK1A1	4724	1.8264999389648438	0.8038843	Yes	
row_34	GRB2	4767	1.8109140396118164	0.8130062	Yes	
row_35	TCF3	5937	1.4701873064041138	0.79276633	No	
row_36	EGFR	7750	1.0770927667617798	0.75466126	No	
row_37	CTNNB1	8948	0.8829793334007263	0.7304497	No	
row_38	KRAS	9727	0.795172393321991	0.71595275	No	
row_39	PIK3CD	11868	0.5515933632850647	0.66691387	No	
row_40	NFKB1	13063	0.46941959857940674	0.6404586	No	
row_41	FOS	13329	0.44101980328559875	0.636474	No	
row_42	LRP5	15774	0.25855445861816406	0.5783882	No	
row_43	BRAF	15836	0.2541366219520569	0.578326	No	
row_44	CHUK	15912	0.2481173574924469	0.577889	No	
row_45	TSC2	17443	0.13195686042308807	0.5413585	No	
row_46	DEPTOR	17588	0.12383825331926346	0.5385445	No	
row_47	GAREM2	18168	0.09079388529062271	0.5249491	No	
row_48	NFKBIE	18546	0.06571311503648758	0.5161337	No	
row_49	RHEB	19023	0.037181101739406586	0.504747	No	
row_50	AKT3	19047	0.036217935383319855	0.5043896	No	
row_51	FLT3	19180	0.028608020395040512	0.5013344	No	
row_52	LRP6	19257	0.02606241963803768	0.4996291	No	
row_53	SALL4	19387	0.020884519442915916	0.49660376	No	
row_54	AKT1S1	30181	-0.02173428423702717	0.23381506	No	
row_55	GSK3B	31508	-0.10341714322566986	0.20209391	No	
row_56	MTOR	31751	-0.12132351845502853	0.19687863	No	
row_57	MAP2K2	32270	-0.16213512420654297	0.18516879	No	
row_58	PDGFRA	33152	-0.23899763822555542	0.1650471	No	
row_59	TSC1	33958	-0.3216613233089447	0.14723982	No	
row_60	WNT1	34071	-0.3341515064239502	0.14638352	No	
row_61	HRAS	34239	-0.3591969609260559	0.14432779	No	
row_62	MLST8	35577	-0.4648588001728058	0.11436354	No	
row_63	IKBKG	35869	-0.512545645236969	0.11014633	No	
row_64	MET	35937	-0.5219928622245789	0.111438535	No	
row_65	CCND1	39300	-1.3008568286895752	0.036829986	No	
row_66	RARA	39363	-1.3264411687850952	0.04275062	No	
