NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD44	8	17.85464096069336	0.06335817	Yes	
row_1	IFNAR1	15	16.279390335083008	0.12115801	Yes	
row_2	SOCS3	17	15.938496589660645	0.17786628	Yes	
row_3	TNFRSF1B	114	11.247557640075684	0.21556246	Yes	
row_4	IFNGR2	130	10.771055221557617	0.25353625	Yes	
row_5	OSMR	224	9.173091888427734	0.28392154	Yes	
row_6	TNFRSF1A	274	8.665678977966309	0.31357282	Yes	
row_7	JUN	277	8.648982048034668	0.3443099	Yes	
row_8	CD14	319	8.28875732421875	0.37281448	Yes	
row_9	STAT3	404	7.516852855682373	0.3975237	Yes	
row_10	HMOX1	425	7.36837911605835	0.42326394	Yes	
row_11	IL1R1	502	6.953642845153809	0.4461634	Yes	
row_12	A2M	537	6.770378589630127	0.46943387	Yes	
row_13	CSF3R	564	6.616857528686523	0.49235287	Yes	
row_14	IL6ST	587	6.538567543029785	0.51509064	Yes	
row_15	IL13RA1	619	6.4095458984375	0.5371499	Yes	
row_16	CSF1	652	6.28153657913208	0.5587291	Yes	
row_17	MYD88	653	6.280272960662842	0.5810836	Yes	
row_18	ACVRL1	898	5.434566020965576	0.59448236	Yes	
row_19	CBL	1349	4.431670665740967	0.59929186	Yes	
row_20	CXCL1	1394	4.341948986053467	0.61367476	Yes	
row_21	IL17RA	1421	4.285587787628174	0.62829566	Yes	
row_22	ACVR1B	1448	4.23516321182251	0.6427371	Yes	
row_23	IL18R1	1554	4.0744757652282715	0.6546816	Yes	
row_24	CSF2RB	1621	3.9740006923675537	0.66721874	Yes	
row_25	INHBE	1690	3.8611860275268555	0.6793056	Yes	
row_26	LTBR	1785	3.718935966491699	0.6902526	Yes	
row_27	TNFRSF12A	1855	3.627112627029419	0.70148194	Yes	
row_28	LEPR	1936	3.5394530296325684	0.7121312	Yes	
row_29	STAT2	1953	3.527885675430298	0.7242988	Yes	
row_30	IRF9	1978	3.488327741622925	0.7361306	Yes	
row_31	TGFB1	2091	3.393312454223633	0.74547994	Yes	
row_32	PIK3R5	2426	3.083815097808838	0.74831825	Yes	
row_33	CXCL3	2684	2.8612489700317383	0.75224066	Yes	
row_34	PIM1	2689	2.859769105911255	0.7623224	Yes	
row_35	PDGFC	2866	2.75276517868042	0.76783234	Yes	
row_36	CNTFR	2989	2.6657814979553223	0.7743484	Yes	
row_37	PF4	3053	2.6179141998291016	0.78213173	Yes	
row_38	IL10RB	3079	2.5930838584899902	0.79075253	Yes	
row_39	IRF1	3218	2.4965696334838867	0.79627645	Yes	
row_40	STAT1	3296	2.4509165287017822	0.8031242	Yes	
row_41	CCR1	3342	2.423476457595825	0.810654	Yes	
row_42	FAS	3418	2.3880550861358643	0.8173267	Yes	
row_43	IL2RG	4138	2.0379090309143066	0.80706114	No	
row_44	IL6	4189	2.0201141834259033	0.81303334	No	
row_45	GRB2	4767	1.8109140396118164	0.8054198	No	
row_46	ITGA4	4786	1.8037768602371216	0.81140167	No	
row_47	CXCL9	4978	1.7370637655258179	0.8129307	No	
row_48	TNFRSF21	5538	1.5773320198059082	0.8049243	No	
row_49	ITGB3	5753	1.5251129865646362	0.80513847	No	
row_50	CSF2RA	5904	1.4785174131393433	0.80674624	No	
row_51	MAP3K8	6165	1.4241093397140503	0.80548006	No	
row_52	IL17RB	6300	1.380607008934021	0.8071292	No	
row_53	DNTT	6361	1.3620021343231201	0.8105152	No	
row_54	IFNGR1	7089	1.1985176801681519	0.79706687	No	
row_55	IL7	7541	1.1193424463272095	0.7900619	No	
row_56	CXCL11	7699	1.0873193740844727	0.7901066	No	
row_57	STAM2	8862	0.8974091410636902	0.76498705	No	
row_58	EBI3	11488	0.5976231694221497	0.7031523	No	
row_59	TNF	11535	0.593287467956543	0.7041432	No	
row_60	IL3RA	11780	0.5627889633178711	0.70020103	No	
row_61	IL12RB1	12704	0.5126138925552368	0.67953545	No	
row_62	TYK2	12768	0.5034133195877075	0.6797922	No	
row_63	PTPN1	15132	0.3133719861507416	0.6233297	No	
row_64	IL1B	17157	0.15332719683647156	0.5745577	No	
row_65	IL9R	17337	0.14110113680362701	0.5706984	No	
row_66	CD36	17737	0.11867588013410568	0.56139857	No	
row_67	HAX1	18647	0.05827850475907326	0.5394569	No	
row_68	BAK1	19057	0.035592444241046906	0.52961767	No	
row_69	CCL7	19933	0.0	0.508297	No	
row_70	IL1R2	19957	0.0	0.50773656	No	
row_71	CSF2	20139	0.0	0.50332624	No	
row_72	LTB	30513	-0.037680841982364655	0.25070697	No	
row_73	SOCS1	30542	-0.03999217972159386	0.25016704	No	
row_74	CXCL13	31749	-0.1208312138915062	0.22121118	No	
row_75	PTPN11	32296	-0.1639910340309143	0.2084908	No	
row_76	PLA2G2A	32457	-0.1769566535949707	0.20522204	No	
row_77	IL15RA	36276	-0.5885863304138184	0.11428591	No	
row_78	IL2RA	38606	-1.0316485166549683	0.06120852	No	
