NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD74	1	20.545452117919922	0.06432365	Yes	
row_1	IFITM2	29	15.0214262008667	0.11071256	Yes	
row_2	IFITM3	33	14.677568435668945	0.15660936	Yes	
row_3	B2M	65	12.894807815551758	0.19624025	Yes	
row_4	MX1	91	11.978290557861328	0.23314683	Yes	
row_5	IFITM1	105	11.39093017578125	0.26850626	Yes	
row_6	IFI30	148	10.386608123779297	0.30001345	Yes	
row_7	BST2	179	9.918612480163574	0.3303473	Yes	
row_8	PLSCR1	200	9.565702438354492	0.35981956	Yes	
row_9	TRIM25	203	9.553343772888184	0.38969174	Yes	
row_10	TXNIP	254	8.825209617614746	0.4161137	Yes	
row_11	TAP1	394	7.593826770782471	0.43651018	Yes	
row_12	GBP2	477	7.053446292877197	0.4566032	Yes	
row_13	SELL	521	6.860847473144531	0.47704342	Yes	
row_14	LGALS3BP	593	6.517307281494141	0.49572533	Yes	
row_15	HELZ2	613	6.435697078704834	0.5154188	Yes	
row_16	CSF1	652	6.28153657913208	0.53416646	Yes	
row_17	OAS1	757	5.909675598144531	0.5501411	Yes	
row_18	SAMD9L	889	5.470059394836426	0.56408095	Yes	
row_19	PARP14	896	5.450204849243164	0.5810047	Yes	
row_20	NMI	946	5.316471576690674	0.5964617	Yes	
row_21	SP110	1290	4.542520046234131	0.60233027	Yes	
row_22	UBE2L6	1323	4.482077598571777	0.61558825	Yes	
row_23	TENT5A	1328	4.472328186035156	0.62949806	Yes	
row_24	C1S	1341	4.444140911102295	0.6431246	Yes	
row_25	SLC25A28	1869	3.6105175018310547	0.6415903	Yes	
row_26	ADAR	1888	3.595947027206421	0.65241414	Yes	
row_27	CMPK2	1934	3.5446107387542725	0.6624192	Yes	
row_28	STAT2	1953	3.527885675430298	0.67302984	Yes	
row_29	IRF9	1978	3.488327741622925	0.68337035	Yes	
row_30	IRF7	1983	3.480499029159546	0.69417375	Yes	
row_31	OASL	2244	3.2420310974121094	0.69799185	Yes	
row_32	EPSTI1	2307	3.189225912094116	0.7064696	Yes	
row_33	EIF2AK2	2358	3.131304979324341	0.7150583	Yes	
row_34	HLA-C	2405	3.0976908206939697	0.72363925	Yes	
row_35	BATF2	2514	3.004502534866333	0.7304175	Yes	
row_36	GMPR	2546	2.9777135848999023	0.7389882	Yes	
row_37	SAMD9	2725	2.8379454612731934	0.743539	Yes	
row_38	MOV10	2980	2.6722946166992188	0.74571884	Yes	
row_39	ISG20	2993	2.660003423690796	0.75375754	Yes	
row_40	IL15	3086	2.5863845348358154	0.7596161	Yes	
row_41	IRF1	3218	2.4965696334838867	0.764243	Yes	
row_42	RIPK2	3262	2.4710021018981934	0.7709343	Yes	
row_43	LAP3	3276	2.462221384048462	0.77832913	Yes	
row_44	IFI44L	3362	2.4132680892944336	0.78381604	Yes	
row_45	IFI44	3512	2.3332114219665527	0.7874927	Yes	
row_46	DHX58	3574	2.3016905784606934	0.79321504	Yes	
row_47	TRIM14	3758	2.2149600982666016	0.79569274	Yes	
row_48	TRAFD1	4163	2.0279123783111572	0.79219913	Yes	
row_49	PNPT1	4575	1.8756985664367676	0.7880582	Yes	
row_50	PARP12	4627	1.8567428588867188	0.7926307	Yes	
row_51	TRIM5	4790	1.8028150796890259	0.7943293	Yes	
row_52	IFIH1	4989	1.7335737943649292	0.7949338	Yes	
row_53	NUB1	5146	1.6882914304733276	0.79642	Yes	
row_54	IFI27	5553	1.574503779411316	0.79145753	Yes	
row_55	IFIT2	5572	1.569767951965332	0.7959354	Yes	
row_56	CASP8	5756	1.5242836475372314	0.7962499	Yes	
row_57	PSME2	5822	1.501428246498108	0.7993684	Yes	
row_58	IL7	7541	1.1193424463272095	0.7610085	No	
row_59	CXCL11	7699	1.0873193740844727	0.76058805	No	
row_60	IFI35	8080	1.0292922258377075	0.7545516	No	
row_61	UBA7	8140	1.0196360349655151	0.7563073	No	
row_62	IFIT3	8384	0.9745227098464966	0.7534379	No	
row_63	USP18	8829	0.9040329456329346	0.74544954	No	
row_64	RTP4	8919	0.8869739174842834	0.7460587	No	
row_65	GBP4	9944	0.7653413414955139	0.72350204	No	
row_66	MVB12A	10175	0.7366724610328674	0.7202044	No	
row_67	RSAD2	10665	0.6757606863975525	0.7104045	No	
row_68	CNP	11171	0.6436090469360352	0.7001141	No	
row_69	CD47	11724	0.5703006982803345	0.6884486	No	
row_70	TDRD7	13006	0.4773969352245331	0.65872735	No	
row_71	PROCR	13007	0.47736117243766785	0.6602224	No	
row_72	TRIM21	14244	0.3817906081676483	0.6312983	No	
row_73	TMEM140	16139	0.22864452004432678	0.5858598	No	
row_74	IRF2	17298	0.1441853940486908	0.55809224	No	
row_75	ISG15	17323	0.1420959234237671	0.55795246	No	
row_76	HERC6	18912	0.04332435876131058	0.5193904	No	
row_77	CCRL2	19337	0.02335221879184246	0.50913113	No	
row_78	CMTR1	31373	-0.09223181009292603	0.21614096	No	
row_79	LAMP3	34976	-0.40466374158859253	0.12963177	No	
row_80	RNF31	39388	-1.3463672399520874	0.026357597	No	
row_81	OGFR	39915	-1.7039934396743774	0.018876463	No	
row_82	LY6E	40770	-3.325343132019043	0.008480389	No	
