NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD74	1	20.545452117919922	0.03282882	Yes	
row_1	SOCS3	17	15.938496589660645	0.057949014	Yes	
row_2	IFITM2	29	15.0214262008667	0.081700444	Yes	
row_3	IFITM3	33	14.677568435668945	0.105097376	Yes	
row_4	ARID5B	58	13.140952110290527	0.12552439	Yes	
row_5	B2M	65	12.894807815551758	0.14599733	Yes	
row_6	BTG1	73	12.675715446472168	0.16609553	Yes	
row_7	MX1	91	11.978290557861328	0.18483432	Yes	
row_8	CDKN1A	117	11.19759464263916	0.20212938	Yes	
row_9	HLA-B	123	10.963191986083984	0.21953799	Yes	
row_10	MT2A	128	10.929985046386719	0.23691793	Yes	
row_11	C1R	147	10.38666820526123	0.2530872	Yes	
row_12	IFI30	148	10.386608123779297	0.26969594	Yes	
row_13	BST2	179	9.918612480163574	0.28482375	Yes	
row_14	PELI1	197	9.614432334899902	0.2997826	Yes	
row_15	PLSCR1	200	9.565702438354492	0.3150298	Yes	
row_16	TRIM25	203	9.553343772888184	0.33025727	Yes	
row_17	SERPING1	239	9.028348922729492	0.3438394	Yes	
row_18	TXNIP	254	8.825209617614746	0.3576095	Yes	
row_19	NAMPT	296	8.414945602416992	0.37006426	Yes	
row_20	MX2	364	7.837532043457031	0.38096082	Yes	
row_21	HLA-DQA1	372	7.805330276489258	0.393271	Yes	
row_22	FPR1	384	7.717641830444336	0.40534332	Yes	
row_23	TAP1	394	7.593826770782471	0.41726646	Yes	
row_24	STAT3	404	7.516852855682373	0.42906654	Yes	
row_25	MTHFD2	409	7.458559036254883	0.44089547	Yes	
row_26	IFNAR2	421	7.391351222991943	0.452446	Yes	
row_27	TNFAIP3	465	7.1349334716796875	0.46280515	Yes	
row_28	IL10RA	475	7.065244674682617	0.47388306	Yes	
row_29	VAMP8	491	6.995192527770996	0.48470244	Yes	
row_30	SECTM1	496	6.978980541229248	0.49576452	Yes	
row_31	LGALS3BP	593	6.517307281494141	0.5038418	Yes	
row_32	MVP	599	6.502410411834717	0.5141174	Yes	
row_33	VCAM1	611	6.44431209564209	0.5241536	Yes	
row_34	HELZ2	613	6.435697078704834	0.5344202	Yes	
row_35	FGL2	614	6.433133125305176	0.5447071	Yes	
row_36	MYD88	653	6.280272960662842	0.5538217	Yes	
row_37	ARL4A	676	6.173767566680908	0.56315666	Yes	
row_38	CASP4	682	6.145914554595947	0.57286215	Yes	
row_39	NFKBIA	761	5.895081520080566	0.5803841	Yes	
row_40	CFH	829	5.6637163162231445	0.58780456	Yes	
row_41	CD40	865	5.535274982452393	0.5958011	Yes	
row_42	SAMD9L	889	5.470059394836426	0.6039864	Yes	
row_43	PARP14	896	5.450204849243164	0.612555	Yes	
row_44	CCL2	904	5.418663501739502	0.6210488	Yes	
row_45	NMI	946	5.316471576690674	0.6285489	Yes	
row_46	PML	973	5.242444038391113	0.636297	Yes	
row_47	IRF4	1225	4.6565728187561035	0.63761395	Yes	
row_48	HLA-DRB1	1254	4.608025074005127	0.64429873	Yes	
row_49	SP110	1290	4.542520046234131	0.6507078	Yes	
row_50	UBE2L6	1323	4.482077598571777	0.65709347	Yes	
row_51	C1S	1341	4.444140911102295	0.66378474	Yes	
row_52	LATS2	1494	4.170449733734131	0.66674185	Yes	
row_53	CSF2RB	1621	3.9740006923675537	0.6700197	Yes	
row_54	SSPN	1670	3.8897037506103516	0.6750674	Yes	
row_55	SLC25A28	1869	3.6105175018310547	0.6760059	Yes	
row_56	ADAR	1888	3.595947027206421	0.6813165	Yes	
row_57	SPPL2A	1907	3.5714447498321533	0.68658787	Yes	
row_58	CMPK2	1934	3.5446107387542725	0.691621	Yes	
row_59	STAT2	1953	3.527885675430298	0.6968227	Yes	
row_60	IRF9	1978	3.488327741622925	0.7018147	Yes	
row_61	IRF7	1983	3.480499029159546	0.7072825	Yes	
row_62	HLA-DMA	2059	3.4242162704467773	0.7109266	Yes	
row_63	OASL	2244	3.2420310974121094	0.7116177	Yes	
row_64	EPSTI1	2307	3.189225912094116	0.71520346	Yes	
row_65	ZBP1	2309	3.1865456104278564	0.7202745	Yes	
row_66	EIF2AK2	2358	3.131304979324341	0.72410953	Yes	
row_67	IL2RB	2425	3.083829879760742	0.7274291	Yes	
row_68	SLAMF7	2495	3.0154879093170166	0.7305661	Yes	
row_69	BATF2	2514	3.004502534866333	0.73493093	Yes	
row_70	OAS3	2519	2.997178077697754	0.7396259	Yes	
row_71	PIM1	2689	2.859769105911255	0.740072	Yes	
row_72	CASP3	2746	2.8251607418060303	0.7432221	Yes	
row_73	ISG20	2993	2.660003423690796	0.7414686	Yes	
row_74	XAF1	3017	2.642965316772461	0.7451332	Yes	
row_75	OAS2	3033	2.632683038711548	0.7489767	Yes	
row_76	ISOC1	3055	2.617183208465576	0.75264895	Yes	
row_77	CCL5	3070	2.6016905307769775	0.7564673	Yes	
row_78	IL15	3086	2.5863845348358154	0.7602368	Yes	
row_79	ST8SIA4	3165	2.537550926208496	0.7623898	Yes	
row_80	IRF1	3218	2.4965696334838867	0.76511216	Yes	
row_81	HLA-A	3239	2.485276699066162	0.76859784	Yes	
row_82	RIPK2	3262	2.4710021018981934	0.7720119	Yes	
row_83	LAP3	3276	2.462221384048462	0.77563167	Yes	
row_84	STAT1	3296	2.4509165287017822	0.7790869	Yes	
row_85	IFI44L	3362	2.4132680892944336	0.7813586	Yes	
row_86	FCGR1A	3415	2.3897712230682373	0.78391016	Yes	
row_87	FAS	3418	2.3880550861358643	0.78768	Yes	
row_88	IFI44	3512	2.3332114219665527	0.7891399	Yes	
row_89	CD69	3546	2.316272497177124	0.79203796	Yes	
row_90	IRF8	3573	2.3017756938934326	0.7950837	Yes	
row_91	DHX58	3574	2.3016905784606934	0.7987642	Yes	
row_92	RNF213	3718	2.2309021949768066	0.7988397	Yes	
row_93	HIF1A	3736	2.2234861850738525	0.80198	Yes	
row_94	TRIM14	3758	2.2149600982666016	0.80500907	Yes	
row_95	RAPGEF6	3951	2.124068021774292	0.80371714	Yes	
row_96	TRAFD1	4163	2.0279123783111572	0.8018075	Yes	
row_97	IL6	4189	2.0201141834259033	0.8044273	Yes	
row_98	IFIT1	4500	1.900791883468628	0.7998969	Yes	
row_99	SRI	4522	1.8944474458694458	0.80241346	Yes	
row_100	PNPT1	4575	1.8756985664367676	0.804143	Yes	
row_101	PARP12	4627	1.8567428588867188	0.80586666	Yes	
row_102	TNFAIP2	4778	1.8077250719070435	0.8050945	No	
row_103	CXCL9	4978	1.7370637655258179	0.8030128	No	
row_104	IFIH1	4989	1.7335737943649292	0.8055407	No	
row_105	RBCK1	5491	1.5885989665985107	0.7958471	No	
row_106	IFI27	5553	1.574503779411316	0.7968753	No	
row_107	IFIT2	5572	1.569767951965332	0.79894584	No	
row_108	RIGI	5701	1.5386565923690796	0.79828066	No	
row_109	CASP8	5756	1.5242836475372314	0.79939944	No	
row_110	PSME2	5822	1.501428246498108	0.8002131	No	
row_111	IL18BP	6023	1.4556009769439697	0.7976569	No	
row_112	TNFAIP6	6034	1.4514893293380737	0.7997337	No	
row_113	EIF4E3	6350	1.364209532737732	0.79422325	No	
row_114	TMT1B	7104	1.1938598155975342	0.7777449	No	
row_115	IL7	7541	1.1193424463272095	0.7688882	No	
row_116	CXCL11	7699	1.0873193740844727	0.7667931	No	
row_117	GZMA	7789	1.072816014289856	0.7663353	No	
row_118	IFI35	8080	1.0292922258377075	0.7608997	No	
row_119	CMKLR1	8095	1.026382327079773	0.7621991	No	
row_120	IFIT3	8384	0.9745227098464966	0.7567248	No	
row_121	VAMP5	8566	0.9507413506507874	0.75382525	No	
row_122	USP18	8829	0.9040329456329346	0.7488731	No	
row_123	RTP4	8919	0.8869739174842834	0.74811816	No	
row_124	TOR1B	8991	0.8783272504806519	0.7477889	No	
row_125	GBP4	9944	0.7653413414955139	0.725766	No	
row_126	TNFSF10	10059	0.7534422278404236	0.7241871	No	
row_127	ST3GAL5	10140	0.7416778206825256	0.72341955	No	
row_128	LCP2	10221	0.7317278981208801	0.7226361	No	
row_129	RSAD2	10665	0.6757606863975525	0.71289915	No	
row_130	PSMA2	12582	0.5272961258888245	0.6669558	No	
row_131	TDRD7	13006	0.4773969352245331	0.65739006	No	
row_132	NFKB1	13063	0.46941959857940674	0.6567732	No	
row_133	ZNFX1	13498	0.42351779341697693	0.6468527	No	
row_134	NOD1	14060	0.39945149421691895	0.63379246	No	
row_135	TRIM21	14244	0.3817906081676483	0.6299343	No	
row_136	PTPN1	15132	0.3133719861507416	0.6087759	No	
row_137	LYSMD2	15543	0.2788361608982086	0.59921	No	
row_138	PTPN6	15882	0.25097399950027466	0.5913578	No	
row_139	IRF2	17298	0.1441853940486908	0.5570357	No	
row_140	ISG15	17323	0.1420959234237671	0.55667686	No	
row_141	HLA-G	17988	0.10332292318344116	0.540628	No	
row_142	KLRK1	18171	0.09049665182828903	0.5363285	No	
row_143	BANK1	18570	0.06407582014799118	0.52671224	No	
row_144	HERC6	18912	0.04332435876131058	0.5184547	No	
row_145	SELP	19262	0.02551051788032055	0.5099733	No	
row_146	RIPK1	19852	4.5248164678923786E-4	0.49559134	No	
row_147	CCL7	19933	0.0	0.49363783	No	
row_148	XCL1	20050	0.0	0.49080527	No	
row_149	ITGB7	29760	-5.0069578719558194E-5	0.2537229	No	
row_150	SOCS1	30542	-0.03999217972159386	0.23471573	No	
row_151	CMTR1	31373	-0.09223181009292603	0.21459559	No	
row_152	TAPBP	31590	-0.10835196822881699	0.20949438	No	
row_153	PSMB2	32184	-0.15624076128005981	0.19526385	No	
row_154	AUTS2	32650	-0.1922338306903839	0.18421648	No	
row_155	PSMB10	33595	-0.2796969711780548	0.16161236	No	
row_156	IDO1	34456	-0.3747815787792206	0.14121145	No	
row_157	PTGS2	35853	-0.5087406039237976	0.10793627	No	
row_158	IL15RA	36276	-0.5885863304138184	0.0985727	No	
row_159	PFKP	37658	-0.7674598693847656	0.0660775	No	
row_160	P2RY14	38476	-0.9765994548797607	0.04768895	No	
row_161	STAT4	38990	-1.182410478591919	0.037052825	No	
row_162	RNF31	39388	-1.3463672399520874	0.02951146	No	
row_163	NUP93	39526	-1.4205487966537476	0.028437609	No	
row_164	PDE4B	39573	-1.4517725706100464	0.029635802	No	
row_165	OGFR	39915	-1.7039934396743774	0.024033755	No	
row_166	LY6E	40770	-3.325343132019043	0.008497467	No	
