NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS6KA2	10	17.162124633789062	0.12679857	Yes	
row_1	IFITM2	29	15.0214262008667	0.237556	Yes	
row_2	IFITM3	33	14.677568435668945	0.3461331	Yes	
row_3	MAPK3	70	12.715005874633789	0.43937925	Yes	
row_4	IFITM1	105	11.39093017578125	0.5228726	Yes	
row_5	BST2	179	9.918612480163574	0.59451807	Yes	
row_6	JUN	277	8.648982048034668	0.656181	Yes	
row_7	MAPK1	1016	5.106966018676758	0.6760232	Yes	
row_8	DDIT3	1123	4.881630897521973	0.7095794	Yes	
row_9	MAP2K6	1338	4.449965476989746	0.73731166	Yes	
row_10	RAF1	1556	4.071331024169922	0.76216805	Yes	
row_11	MAPK14	1681	3.8805954456329346	0.787876	Yes	
row_12	MAP2K3	2003	3.4709088802337646	0.80575657	Yes	
row_13	MAP2K1	2155	3.329272747039795	0.82672626	Yes	
row_14	RPS6KA1	2354	3.135674476623535	0.84511894	Yes	
row_15	IFI27	5553	1.574503779411316	0.7789393	No	
row_16	BCL2	7040	1.2107475996017456	0.7517347	No	
row_17	MAP3K1	7664	1.0940499305725098	0.74467033	No	
row_18	ATF2	8260	0.9975948333740234	0.73757356	No	
row_19	MAPK10	11651	0.5804420113563538	0.6593624	No	
row_20	FOS	13329	0.44101980328559875	0.6218112	No	
row_21	MAP3K11	15102	0.3158497214317322	0.58102125	No	
row_22	MAP2K4	15193	0.3071129620075226	0.5811042	No	
row_23	MAPK8	19091	0.03329718858003616	0.48650315	No	
row_24	EIF4E	19146	0.030993755906820297	0.4854183	No	
row_25	RPS6KA3	30011	-0.013559326529502869	0.22110413	No	
row_26	MAPK9	30209	-0.023533595725893974	0.21648364	No	
row_27	JUNB	30331	-0.026358237490057945	0.21373379	No	
row_28	MAP2K2	32270	-0.16213512420654297	0.16776578	No	
row_29	MAP3K10	39822	-1.6352813243865967	-0.00390987	No	
row_30	MAPK13	40345	-2.226053237915039	-1.3634634E-4	No	
row_31	MAPK11	40534	-2.5566916465759277	0.014213807	No	
