NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAPK3	70	12.715005874633789	0.10455601	Yes	
row_1	PELI1	197	9.614432334899902	0.1818372	Yes	
row_2	JUN	277	8.648982048034668	0.25219417	Yes	
row_3	IRAK2	371	7.812242031097412	0.31521764	Yes	
row_4	MAPKAPK2	442	7.280195713043213	0.37435466	Yes	
row_5	PIK3R2	547	6.708520412445068	0.42788652	Yes	
row_6	MAP3K2	573	6.586434364318848	0.48232114	Yes	
row_7	MYD88	653	6.280272960662842	0.5328827	Yes	
row_8	NFKBIA	761	5.895081520080566	0.5795436	Yes	
row_9	REL	803	5.756171703338623	0.62665015	Yes	
row_10	RELA	938	5.326930522918701	0.66790575	Yes	
row_11	MAPK1	1016	5.106966018676758	0.70871055	Yes	
row_12	MAP2K6	1338	4.449965476989746	0.7380853	Yes	
row_13	MAPK14	1681	3.8805954456329346	0.76219064	Yes	
row_14	MAP2K3	2003	3.4709088802337646	0.78338337	Yes	
row_15	MAP2K1	2155	3.329272747039795	0.80753064	Yes	
row_16	MAP3K7	2261	3.2279791831970215	0.8319511	Yes	
row_17	SQSTM1	2326	3.173177719116211	0.8569116	Yes	
row_18	IRAK4	3544	2.31674861907959	0.8466484	No	
row_19	IRAK3	5124	1.6898871660232544	0.8223346	No	
row_20	MAP3K1	7664	1.0940499305725098	0.7696729	No	
row_21	ATF2	8260	0.9975948333740234	0.76352626	No	
row_22	PRKCZ	9896	0.7705183625221252	0.73016614	No	
row_23	NFKB1	13063	0.46941959857940674	0.6570218	No	
row_24	TAB3	14556	0.35198676586151123	0.6236449	No	
row_25	MAP2K4	15193	0.3071129620075226	0.6107299	No	
row_26	CHUK	15912	0.2481173574924469	0.5953257	No	
row_27	MAPK8	19091	0.03329718858003616	0.5182446	No	
row_28	NFKBIB	19753	0.004334781318902969	0.5021907	No	
row_29	ECSIT	19761	0.004052313510328531	0.50205415	No	
row_30	UBE2V1	29864	-0.005640620365738869	0.25619686	No	
row_31	MAPK9	30209	-0.023533595725893974	0.24801983	No	
row_32	MAP2K2	32270	-0.16213512420654297	0.19922997	No	
row_33	PTPN11	32296	-0.1639910340309143	0.1999919	No	
row_34	PIK3R1	33583	-0.27870163321495056	0.171017	No	
row_35	IRAK1	33935	-0.31897398829460144	0.1651386	No	
row_36	IKBKG	35869	-0.512545645236969	0.12236859	No	
row_37	HSPB2-C11orf52	36813	-0.6436440348625183	0.10479291	No	
