NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAPK3	70	12.715005874633789	0.104173526	Yes	
row_1	PELI1	197	9.614432334899902	0.18116559	Yes	
row_2	JUN	277	8.648982048034668	0.2512624	Yes	
row_3	IRAK2	371	7.812242031097412	0.31405094	Yes	
row_4	TRAF6	391	7.6338067054748535	0.37715492	Yes	
row_5	IL1R1	502	6.953642845153809	0.43238014	Yes	
row_6	PIK3R2	547	6.708520412445068	0.48717073	Yes	
row_7	MAP3K2	573	6.586434364318848	0.5414072	Yes	
row_8	MYD88	653	6.280272960662842	0.5917799	Yes	
row_9	NFKBIA	761	5.895081520080566	0.6382635	Yes	
row_10	REL	803	5.756171703338623	0.685197	Yes	
row_11	RELA	938	5.326930522918701	0.72629243	Yes	
row_12	MAPK1	1016	5.106966018676758	0.7669437	Yes	
row_13	MAP2K6	1338	4.449965476989746	0.79618496	Yes	
row_14	MAPK14	1681	3.8805954456329346	0.8201739	Yes	
row_15	MAP2K3	2003	3.4709088802337646	0.8412626	Yes	
row_16	IRAK4	3544	2.31674861907959	0.823069	No	
row_17	RB1	4132	2.03926157951355	0.8257617	No	
row_18	IRAK3	5124	1.6898871660232544	0.81571144	No	
row_19	IKBKB	5750	1.5262724161148071	0.8132075	No	
row_20	DOK1	7162	1.1801871061325073	0.7886898	No	
row_21	ATF2	8260	0.9975948333740234	0.77029467	No	
row_22	PPP6C	11691	0.575163722038269	0.69159454	No	
row_23	IL1RN	11857	0.5526009798049927	0.69217974	No	
row_24	NFKB1	13063	0.46941959857940674	0.66675776	No	
row_25	TAB3	14556	0.35198676586151123	0.633372	No	
row_26	CHUK	15912	0.2481173574924469	0.60245603	No	
row_27	IL1B	17157	0.15332719683647156	0.57345265	No	
row_28	MAPK8	19091	0.03329718858003616	0.5266788	No	
row_29	IL1R2	19957	0.0	0.5056239	No	
row_30	UBE2V1	29864	-0.005640620365738869	0.2645492	No	
row_31	MAPK9	30209	-0.023533595725893974	0.25637186	No	
row_32	FBXW5	33147	-0.2383597195148468	0.18686725	No	
row_33	IL1A	33308	-0.2527496814727783	0.18507734	No	
row_34	PIK3R1	33583	-0.27870163321495056	0.18072866	No	
row_35	IRAK1	33935	-0.31897398829460144	0.17484106	No	
