NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QB	16	15.98809814453125	0.14300679	Yes	
row_1	C1QC	30	15.000843048095703	0.27723202	Yes	
row_2	C4A	52	13.491474151611328	0.39772484	Yes	
row_3	C3	84	12.410562515258789	0.50827926	Yes	
row_4	C1R	147	10.38666820526123	0.59992605	Yes	
row_5	C1QA	181	9.887930870056152	0.6878064	Yes	
row_6	IGHG4	839	5.628810405731201	0.7222807	Yes	
row_7	C2	1311	4.493651866912842	0.7511064	Yes	
row_8	C1S	1341	4.444140911102295	0.790259	Yes	
row_9	IGHG1	2037	3.4405922889709473	0.8041812	Yes	
row_10	CFB	4342	1.9612780809402466	0.765626	No	
row_11	COLEC11	4578	1.8750988245010376	0.776717	No	
row_12	CFD	5450	1.5997493267059326	0.7698399	No	
row_13	FCN3	8149	1.016995906829834	0.7132141	No	
row_14	CRP	9225	0.861690878868103	0.6947461	No	
row_15	MASP1	10288	0.721447229385376	0.675337	No	
row_16	IGHG3	10317	0.7169769406318665	0.6810852	No	
row_17	IGHG2	11663	0.579268217086792	0.65350455	No	
row_18	MBL2	12162	0.5321807861328125	0.64614195	No	
row_19	IGHV3-33	12195	0.5321807861328125	0.6501353	No	
row_20	IGLV3-19	12339	0.5321807861328125	0.65142363	No	
row_21	IGLV1-47	12368	0.5321807861328125	0.6555144	No	
row_22	IGKV3-11	12394	0.5321807861328125	0.65967834	No	
row_23	IGKV2-29	13898	0.41064372658729553	0.626735	No	
row_24	IGHV1-69	14716	0.33938294649124146	0.60986954	No	
row_25	COLEC10	17265	0.14654883742332458	0.5490921	No	
row_26	FCN2	20112	0.0	0.47973838	No	
row_27	IGKC	21920	0.0	0.43570387	No	
row_28	IGKV4-1	21926	0.0	0.43558204	No	
row_29	IGKV5-2	21927	0.0	0.43558204	No	
row_30	IGKV3D-20	21929	0.0	0.43555766	No	
row_31	IGLV1-44	21938	0.0	0.43536273	No	
row_32	IGLV7-43	21939	0.0	0.43536273	No	
row_33	IGLV3-27	21944	0.0	0.43526524	No	
row_34	IGLV3-25	21945	0.0	0.43526524	No	
row_35	IGLV2-23	21946	0.0	0.43526524	No	
row_36	IGLV3-21	21948	0.0	0.4352409	No	
row_37	IGLV2-14	21951	0.0	0.43519214	No	
row_38	IGLV2-11	21953	0.0	0.43516776	No	
row_39	IGLV3-1	21957	0.0	0.43509465	No	
row_40	IGLC1	21959	0.0	0.4350703	No	
row_41	IGLC2	21961	0.0	0.43504593	No	
row_42	IGLC3	21963	0.0	0.43502155	No	
row_43	IGLC7	21968	0.0	0.4349241	No	
row_44	IGHV1-2	22119	0.0	0.43126875	No	
row_45	IGHV2-5	22121	0.0	0.4312444	No	
row_46	IGHV3-7	22122	0.0	0.4312444	No	
row_47	IGHV3-11	22123	0.0	0.4312444	No	
row_48	IGHV3-13	22124	0.0	0.4312444	No	
row_49	IGHV3-23	22130	0.0	0.43112254	No	
row_50	IGHV4-34	22134	0.0	0.43104944	No	
row_51	IGHV4-39	22137	0.0	0.4310007	No	
row_52	IGHV1-46	22139	0.0	0.43097633	No	
row_53	IGHV3-48	22140	0.0	0.43097633	No	
row_54	IGHV3-53	22143	0.0	0.4309276	No	
row_55	IGHV7-81	22148	0.0	0.43083012	No	
row_56	IGLC6	22762	0.0	0.415892	No	
row_57	IGHV4-59	23210	0.0	0.40499914	No	
row_58	IGKV2D-30	25367	0.0	0.3524599	No	
row_59	IGKV3-20	25400	0.0	0.3516801	No	
row_60	IGKV1D-33	25404	0.0	0.351607	No	
row_61	IGKV1-17	25448	0.0	0.35055915	No	
row_62	IGKV1-16	25502	0.0	0.3492676	No	
row_63	IGKV1D-16	25540	0.0	0.34836593	No	
row_64	IGKV1-33	25614	0.0	0.346587	No	
row_65	IGKV1-39	25656	0.0	0.34558788	No	
row_66	IGKV2D-28	25670	0.0	0.3452711	No	
row_67	IGKV2-30	25745	0.0	0.3434678	No	
row_68	IGKV1-12	25751	0.0	0.34334597	No	
row_69	IGKV1-5	25763	0.0	0.3430779	No	
row_70	IGKV2-28	25830	0.0	0.34146956	No	
row_71	IGKV3-15	25865	0.0	0.34064102	No	
row_72	IGKV2D-40	26190	0.0	0.33274552	No	
row_73	IGKV1D-39	26244	0.0	0.33145395	No	
row_74	IGHV3-30	28585	0.0	0.27443087	No	
row_75	IGHV2-70	28840	0.0	0.26824117	No	
row_76	IGLV2-8	29143	0.0	0.26088178	No	
row_77	IGKV1D-12	29201	0.0	0.25949275	No	
row_78	IGLV1-51	29982	-0.011067071929574013	0.24058431	No	
row_79	IGLV6-57	37442	-0.7209598422050476	0.06528336	No	
row_80	FCN1	37932	-0.8372116088867188	0.06087591	No	
row_81	GZMM	38141	-0.897918701171875	0.063860595	No	
row_82	IGLV1-40	38439	-0.9656808376312256	0.06528421	No	
