NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOCS3	17	15.938496589660645	0.045325704	Yes	
row_1	ICAM1	49	13.596047401428223	0.08358766	Yes	
row_2	ITGB2	57	13.149593353271484	0.12115363	Yes	
row_3	TNFRSF1B	114	11.247557640075684	0.15206626	Yes	
row_4	CDKN1A	117	11.19759464263916	0.18415232	Yes	
row_5	VIM	126	10.935737609863281	0.21534058	Yes	
row_6	BCL6	134	10.661332130432129	0.24576576	Yes	
row_7	FGF2	165	10.11873722076416	0.27407292	Yes	
row_8	FN1	166	10.1088228225708	0.30308318	Yes	
row_9	TIMP1	195	9.655393600463867	0.33010942	Yes	
row_10	CEBPD	212	9.415244102478027	0.3567391	Yes	
row_11	OPRM1	281	8.594315528869629	0.37974483	Yes	
row_12	STAT3	404	7.516852855682373	0.39834166	Yes	
row_13	HMOX1	425	7.36837911605835	0.4189997	Yes	
row_14	HGF	458	7.17917537689209	0.43882215	Yes	
row_15	IL4R	485	7.032270908355713	0.4583693	Yes	
row_16	NDN	510	6.912878513336182	0.47762263	Yes	
row_17	VCAM1	611	6.44431209564209	0.49367794	Yes	
row_18	IL13RA1	619	6.4095458984375	0.5119013	Yes	
row_19	ITGB1	661	6.249940395355225	0.5288376	Yes	
row_20	ANXA1	687	6.129108905792236	0.54581726	Yes	
row_21	OSM	818	5.7074127197265625	0.5590263	Yes	
row_22	ITGAX	819	5.70610237121582	0.57540166	Yes	
row_23	IGHG4	839	5.628810405731201	0.5910919	Yes	
row_24	CCL2	904	5.418663501739502	0.6050817	Yes	
row_25	LIF	1121	4.883347511291504	0.6138286	Yes	
row_26	MCL1	1151	4.8037428855896	0.62690717	Yes	
row_27	JAK2	1161	4.782007694244385	0.64041114	Yes	
row_28	ALOX5	1176	4.753555774688721	0.6537115	Yes	
row_29	JAK3	1194	4.709888935089111	0.6668133	Yes	
row_30	IRF4	1225	4.6565728187561035	0.6794452	Yes	
row_31	MAOA	1649	3.929689645767212	0.6804075	Yes	
row_32	RHOU	1662	3.9071450233459473	0.69132763	Yes	
row_33	S1PR1	1769	3.7455315589904785	0.6994917	Yes	
row_34	FOXO1	1776	3.7331299781799316	0.7100587	Yes	
row_35	IGHG1	2037	3.4405922889709473	0.7135923	Yes	
row_36	TGFB1	2091	3.393312454223633	0.722038	Yes	
row_37	MYC	2499	3.0116498470306396	0.72075593	Yes	
row_38	TP53	2612	2.921489715576172	0.72640884	Yes	
row_39	PIM1	2689	2.859769105911255	0.73276246	Yes	
row_40	F13A1	2911	2.7177627086639404	0.7351727	Yes	
row_41	STAT1	3296	2.4509165287017822	0.7328423	Yes	
row_42	COL1A2	3417	2.388882875442505	0.7367717	Yes	
row_43	FCER2	3577	2.3009564876556396	0.73949766	Yes	
row_44	RORA	3722	2.2284090518951416	0.7423812	Yes	
row_45	HIF1A	3736	2.2234861850738525	0.74844515	Yes	
row_46	SOX2	3811	2.1875417232513428	0.7529185	Yes	
row_47	MMP9	3923	2.1378822326660156	0.75634694	Yes	
row_48	IL2RG	4138	2.0379090309143066	0.75697684	Yes	
row_49	HSP90B1	4162	2.0289525985717773	0.7622387	Yes	
row_50	IL6	4189	2.0201141834259033	0.76740193	Yes	
row_51	MMP3	4389	1.9402939081192017	0.7681175	Yes	
row_52	BATF	4602	1.8669100999832153	0.7683054	Yes	
row_53	IL10	4636	1.855057954788208	0.77282435	Yes	
row_54	FOXO3	4772	1.8089702129364014	0.7747237	Yes	
row_55	IL13RA2	4813	1.793772578239441	0.77889603	Yes	
row_56	ITGAM	4832	1.7872865200042725	0.78358626	Yes	
row_57	CXCL8	5122	1.6900805234909058	0.78138906	Yes	
row_58	IL18	5151	1.6871473789215088	0.78554803	Yes	
row_59	BCL2L1	5581	1.5660980939865112	0.779581	No	
row_60	LAMA5	5927	1.4722870588302612	0.7753932	No	
row_61	BCL2	7040	1.2107475996017456	0.7517511	No	
row_62	MMP2	7188	1.1754814386367798	0.7515399	No	
row_63	BIRC5	8911	0.8887893557548523	0.7120987	No	
row_64	LCN2	9052	0.8701712489128113	0.71118194	No	
row_65	IL6R	9134	0.8632440567016602	0.71168405	No	
row_66	TNF	11535	0.593287467956543	0.6548615	No	
row_67	POU2F1	11932	0.5453637838363647	0.64676994	No	
row_68	IL12B	12049	0.5321807861328125	0.6454685	No	
row_69	TYK2	12768	0.5034133195877075	0.62940437	No	
row_70	HSP90AA1	12989	0.47927114367485046	0.62541497	No	
row_71	ALOX15	13152	0.4594563841819763	0.62278306	No	
row_72	FOS	13329	0.44101980328559875	0.6197569	No	
row_73	GATA3	14964	0.32901492714881897	0.5808552	No	
row_74	CCL22	15079	0.31697332859039307	0.5789849	No	
row_75	FASLG	15409	0.2906056344509125	0.57179606	No	
