NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFV3	947	5.3110833168029785	0.044119917	No	
row_1	ATP5PO	2026	3.454003095626831	0.061546583	No	
row_2	C2orf69	2197	3.2821638584136963	0.09893487	No	
row_3	SLC25A51	4126	2.0406904220581055	0.07775528	No	
row_4	ATP5PF	4796	1.799880027770996	0.08422156	No	
row_5	NDUFS7	5966	1.4612704515457153	0.07421358	No	
row_6	UQCR11	7888	1.0652215480804443	0.040861003	No	
row_7	NDUFA3	9912	0.7691879272460938	0.0012757501	No	
row_8	NDUFB11	10122	0.7442057728767395	0.0055977763	No	
row_9	NDUFA11	12796	0.4992775619029999	-0.053249255	No	
row_10	NDUFB4	12848	0.4944083094596863	-0.048236307	No	
row_11	COX7C	13584	0.4174783527851105	-0.060872037	No	
row_12	NDUFC1	15146	0.31195276975631714	-0.0949801	No	
row_13	UQCRC2	15907	0.24906153976917267	-0.11035646	No	
row_14	SDHAF2	15976	0.2410653680562973	-0.10896377	No	
row_15	NDUFA13	16420	0.20698882639408112	-0.11714439	No	
row_16	UQCC3	16423	0.20638582110404968	-0.11458153	No	
row_17	NDUFS2	16444	0.2053299844264984	-0.11247085	No	
row_18	NDUFS4	16839	0.1759680211544037	-0.11984945	No	
row_19	NDUFS1	17014	0.16168905794620514	-0.12204536	No	
row_20	COX4I2	17071	0.15833602845668793	-0.12140699	No	
row_21	NDUFS5	17152	0.1536611169576645	-0.121412866	No	
row_22	COX5A	17597	0.12352585792541504	-0.13067402	No	
row_23	SDHD	17932	0.10522188246250153	-0.1374851	No	
row_24	NDUFB10	17946	0.10431556403636932	-0.13648202	No	
row_25	SDHA	18076	0.09720123559236526	-0.1383969	No	
row_26	NDUFA9	18531	0.06713693588972092	-0.14861539	No	
row_27	COA6	18552	0.06511175632476807	-0.14827904	No	
row_28	NDUFB7	18605	0.061661168932914734	-0.14876649	No	
row_29	ATP5MG	18865	0.046051084995269775	-0.15449789	No	
row_30	NIPSNAP2	18877	0.04522522911429405	-0.15419377	No	
row_31	NDUFV2	18886	0.04496108740568161	-0.15381987	No	
row_32	NDUFA7	19437	0.01778760552406311	-0.1670032	No	
row_33	NDUFB1	19572	0.013554089702665806	-0.17009847	No	
row_34	ATP5PB	19654	0.009255659766495228	-0.17195605	No	
row_35	UQCR10	19748	0.004474025685340166	-0.17416666	No	
row_36	COX4I1	19792	0.002396475523710251	-0.17518464	No	
row_37	ATP5F1EP2	20348	0.0	-0.18871495	No	
row_38	ATP5F1E	29878	-0.00641279574483633	-0.4209408	No	
row_39	NDUFA10	30334	-0.02643563412129879	-0.43169868	No	
row_40	COX7A2	30442	-0.0331248976290226	-0.43388805	No	
row_41	SDHB	30450	-0.03377562388777733	-0.43363133	No	
row_42	NDUFA12	30457	-0.03421977907419205	-0.43334457	No	
row_43	NDUFC2	30482	-0.03578716516494751	-0.4334768	No	
row_44	NDUFA6	30629	-0.04536982625722885	-0.43646201	No	
row_45	COX6B1	30757	-0.05359750613570213	-0.43887994	No	
row_46	COX6A1	31011	-0.06930166482925415	-0.44417086	No	
row_47	NDUFA5	31037	-0.07094688713550568	-0.44388255	No	
row_48	COX7B	31853	-0.13105644285678864	-0.462093	No	
row_49	COX6C	31924	-0.13706524670124054	-0.4620651	No	
row_50	UQCRQ	32165	-0.15333133935928345	-0.4659758	No	
row_51	NDUFS3	32318	-0.16606959700584412	-0.46757993	No	
row_52	NDUFB9	32334	-0.16798074543476105	-0.46581995	No	
row_53	NDUFB8	32411	-0.17342564463615417	-0.46547824	No	
row_54	NDUFA2	32452	-0.17653800547122955	-0.46421945	No	
row_55	CYC1	33006	-0.2215767502784729	-0.47489718	No	
row_56	UQCRB	33054	-0.22675833106040955	-0.47317356	No	
row_57	NDUFAF1	33232	-0.2444668859243393	-0.47439516	No	
row_58	ATP5F1A	33283	-0.24993135035037994	-0.47245145	No	
row_59	CYCS	33481	-0.2693813443183899	-0.47384533	No	
row_60	CHCHD10	33548	-0.2742977440357208	-0.47198337	No	
row_61	ATP5ME	33552	-0.27495571970939636	-0.4685772	No	
row_62	UQCRFS1	33562	-0.27628251910209656	-0.4653005	No	
row_63	NDUFA1	33881	-0.31193533539772034	-0.46910575	No	
row_64	NDUFV1	33954	-0.32061296701431274	-0.466804	No	
row_65	UQCRC1	34128	-0.34431079030036926	-0.4666646	No	
row_66	ATP5MF	34799	-0.37912753224372864	-0.478201	Yes	
row_67	NDUFS8	34880	-0.39172112941741943	-0.47519445	Yes	
row_68	COX6A2	35051	-0.4142957031726837	-0.47409636	Yes	
row_69	ATP5F1C	35176	-0.43433868885040283	-0.4716232	Yes	
row_70	NDUFB5	35262	-0.4443920850753784	-0.46807206	Yes	
row_71	NDUFS6	35571	-0.46388915181159973	-0.46971068	Yes	
row_72	NDUFAB1	35626	-0.4735909402370453	-0.46503428	Yes	
row_73	UQCRFS1P1	36088	-0.5520148277282715	-0.46928775	Yes	
row_74	NDUFA8	36167	-0.5670413970947266	-0.46401393	Yes	
row_75	ATP5PD	36191	-0.5715736746788025	-0.4573419	Yes	
row_76	ATP5F1B	36260	-0.5863295197486877	-0.45158023	Yes	
row_77	SDHC	36655	-0.6105731725692749	-0.45345932	Yes	
row_78	NDUFB2	36804	-0.6432116627693176	-0.44892815	Yes	
row_79	NDUFB3	38312	-0.9454566240310669	-0.47370335	Yes	
row_80	NDUFA4	38318	-0.9484603404998779	-0.46182337	Yes	
row_81	COX5B	38804	-1.1001616716384888	-0.45972565	Yes	
row_82	UQCRHL	38828	-1.1099389791488647	-0.44624114	Yes	
row_83	NDUFB6	38834	-1.11394464969635	-0.4322671	Yes	
row_84	MT-ND3	39125	-1.204683542251587	-0.42409286	Yes	
row_85	MT-ND2	39407	-1.3557692766189575	-0.41378736	Yes	
row_86	UQCRH	39461	-1.3836065530776978	-0.3975712	Yes	
row_87	MT-ND4L	39523	-1.4193358421325684	-0.38109794	Yes	
row_88	MT-ND5	39942	-1.7276884317398071	-0.36942607	Yes	
