NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS6KA2	10	17.162124633789062	0.09283849	Yes	
row_1	SOCS3	17	15.938496589660645	0.17913783	Yes	
row_2	MAPK3	70	12.715005874633789	0.24683358	Yes	
row_3	PRLR	178	9.928629875183105	0.29807732	Yes	
row_4	SOS1	275	8.659053802490234	0.3427032	Yes	
row_5	JUN	277	8.648982048034668	0.38958824	Yes	
row_6	STAT3	404	7.516852855682373	0.42728847	Yes	
row_7	PXN	471	7.110992908477783	0.46424884	Yes	
row_8	PIK3R2	547	6.708520412445068	0.49880707	Yes	
row_9	ITGB1	661	6.249940395355225	0.5299526	Yes	
row_10	NFKBIA	761	5.895081520080566	0.55951446	Yes	
row_11	RELA	938	5.326930522918701	0.5841195	Yes	
row_12	MAPK1	1016	5.106966018676758	0.6099427	Yes	
row_13	FYN	1347	4.4343976974487305	0.62595606	Yes	
row_14	CBL	1349	4.431670665740967	0.64996773	Yes	
row_15	RAF1	1556	4.071331024169922	0.66703206	Yes	
row_16	VAV1	1629	3.9521028995513916	0.68671346	Yes	
row_17	ERBB2	1663	3.9043619632720947	0.7070857	Yes	
row_18	MAPK14	1681	3.8805954456329346	0.72771883	Yes	
row_19	MAP2K1	2155	3.329272747039795	0.7342555	Yes	
row_20	MYC	2499	3.0116498470306396	0.7422357	Yes	
row_21	CASP3	2746	2.8251607418060303	0.751567	Yes	
row_22	FLNA	2837	2.7692935466766357	0.76439476	Yes	
row_23	STAT5B	2840	2.767758369445801	0.77935755	Yes	
row_24	EIF4EBP1	3115	2.5664477348327637	0.7866036	Yes	
row_25	STAT1	3296	2.4509165287017822	0.7955126	Yes	
row_26	SHC1	3325	2.4290831089019775	0.8080053	Yes	
row_27	VAV2	4216	2.0137336254119873	0.79725045	Yes	
row_28	SRC	4270	1.995030403137207	0.80678004	Yes	
row_29	SOCS2	4439	1.9208425283432007	0.8131063	Yes	
row_30	GRB2	4767	1.8109140396118164	0.8149638	Yes	
row_31	RPS6	5234	1.6593419313430786	0.8126138	No	
row_32	IRS1	6046	1.449263095855713	0.8007216	No	
row_33	GAB2	6201	1.4143849611282349	0.80464196	No	
row_34	PPIB	6697	1.283052921295166	0.79954475	No	
row_35	CISH	7716	1.0847525596618652	0.7806339	No	
row_36	RPS6KB1	8993	0.8781251907348633	0.7543186	No	
row_37	RAC1	11745	0.567737340927124	0.69039506	No	
row_38	NFKB1	13063	0.46941959857940674	0.6608645	No	
row_39	FOS	13329	0.44101980328559875	0.6568021	No	
row_40	PTPN1	15132	0.3133719861507416	0.61461264	No	
row_41	ZAP70	15719	0.2637948989868164	0.6017709	No	
row_42	PTPN6	15882	0.25097399950027466	0.5991865	No	
row_43	JAK1	16256	0.21982157230377197	0.591294	No	
row_44	YWHAZ	17231	0.14903797209262848	0.56837976	No	
row_45	MAPK8	19091	0.03329718858003616	0.52328295	No	
row_46	NFKBIB	19753	0.004334781318902969	0.5072073	No	
row_47	PRL	20229	0.0	0.4956383	No	
row_48	MAPK9	30209	-0.023533595725893974	0.25271952	No	
row_49	SOCS1	30542	-0.03999217972159386	0.2448503	No	
row_50	SIRPA	30760	-0.053900428116321564	0.23985744	No	
row_51	GSK3B	31508	-0.10341714322566986	0.22222456	No	
row_52	YWHAG	31532	-0.10446952283382416	0.22223099	No	
row_53	MTOR	31751	-0.12132351845502853	0.21757944	No	
row_54	MAP2K2	32270	-0.16213512420654297	0.20584251	No	
row_55	PTPN11	32296	-0.1639910340309143	0.20612305	No	
row_56	AGAP2	33017	-0.22309733927249908	0.1897969	No	
row_57	PAK1	33364	-0.2588145136833191	0.18277353	No	
row_58	PIK3R1	33583	-0.27870163321495056	0.17897555	No	
row_59	HRAS	34239	-0.3591969609260559	0.16497068	No	
row_60	NEK3	35604	-0.4698653519153595	0.13429779	No	
