NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFV3	947	5.3110833168029785	0.07807879	No	
row_1	ATP5PO	2026	3.454003095626831	0.11759846	No	
row_2	ATP5PF	4796	1.799880027770996	0.08442094	No	
row_3	NDUFS7	5966	1.4612704515457153	0.08377245	No	
row_4	NDUFA3	9912	0.7691879272460938	0.0023168637	No	
row_5	NDUFB11	10122	0.7442057728767395	0.011398674	No	
row_6	NDUFA11	12796	0.4992775619029999	-0.04420996	No	
row_7	NDUFB4	12848	0.4944083094596863	-0.036036447	No	
row_8	ATP5MJ	14906	0.3318476974964142	-0.0798273	No	
row_9	NDUFC1	15146	0.31195276975631714	-0.07970852	No	
row_10	NDUFA13	16420	0.20698882639408112	-0.10677817	No	
row_11	NDUFS2	16444	0.2053299844264984	-0.10342799	No	
row_12	NDUFS4	16839	0.1759680211544037	-0.10967499	No	
row_13	NDUFS1	17014	0.16168905794620514	-0.11083449	No	
row_14	NDUFS5	17152	0.1536611169576645	-0.111245506	No	
row_15	ATP5MK	17160	0.15313968062400818	-0.10849951	No	
row_16	SDHD	17932	0.10522188246250153	-0.12527801	No	
row_17	NDUFB10	17946	0.10431556403636932	-0.12360803	No	
row_18	SDHA	18076	0.09720123559236526	-0.12489943	No	
row_19	NDUFA9	18531	0.06713693588972092	-0.13468078	No	
row_20	NDUFB7	18605	0.061661168932914734	-0.13528481	No	
row_21	ATP5MGL	18808	0.0500573106110096	-0.13925242	No	
row_22	ATP5MG	18865	0.046051084995269775	-0.13973962	No	
row_23	NDUFV2	18886	0.04496108740568161	-0.13937056	No	
row_24	NDUFA7	19437	0.01778760552406311	-0.15243042	No	
row_25	NDUFB1	19572	0.013554089702665806	-0.15543666	No	
row_26	ATP5PB	19654	0.009255659766495228	-0.15723366	No	
row_27	ATP5F1EP2	20348	0.0	-0.17411591	No	
row_28	ATP5F1E	29878	-0.00641279574483633	-0.406131	No	
row_29	NDUFA10	30334	-0.02643563412129879	-0.41671184	No	
row_30	SDHB	30450	-0.03377562388777733	-0.41887012	No	
row_31	NDUFA12	30457	-0.03421977907419205	-0.41836458	No	
row_32	NDUFC2	30482	-0.03578716516494751	-0.4182677	No	
row_33	ATP5MC2	30501	-0.037344466894865036	-0.41799498	No	
row_34	NDUFA6	30629	-0.04536982625722885	-0.42022476	No	
row_35	NDUFA5	31037	-0.07094688713550568	-0.42878857	No	
row_36	NDUFS3	32318	-0.16606959700584412	-0.45680806	No	
row_37	NDUFB9	32334	-0.16798074543476105	-0.4539743	No	
row_38	NDUFB8	32411	-0.17342564463615417	-0.45252287	No	
row_39	NDUFA2	32452	-0.17653800547122955	-0.45013517	No	
row_40	ATP5F1A	33283	-0.24993135035037994	-0.465595	No	
row_41	ATP5ME	33552	-0.27495571970939636	-0.46688733	No	
row_42	VPS9D1	33824	-0.30343204736709595	-0.46771035	No	
row_43	NDUFA1	33881	-0.31193533539772034	-0.4631338	No	
row_44	NDUFV1	33954	-0.32061296701431274	-0.4587818	No	
row_45	ATP5MF	34799	-0.37912753224372864	-0.47212216	Yes	
row_46	NDUFS8	34880	-0.39172112941741943	-0.4666108	Yes	
row_47	ATP5F1C	35176	-0.43433868885040283	-0.4655254	Yes	
row_48	NDUFB5	35262	-0.4443920850753784	-0.45913273	Yes	
row_49	NDUFS6	35571	-0.46388915181159973	-0.45780125	Yes	
row_50	NDUFAB1	35626	-0.4735909402370453	-0.4500973	Yes	
row_51	NDUFA8	36167	-0.5670413970947266	-0.45245308	Yes	
row_52	ATP5PD	36191	-0.5715736746788025	-0.44212785	Yes	
row_53	ATP5F1B	36260	-0.5863295197486877	-0.43261784	Yes	
row_54	SDHC	36655	-0.6105731725692749	-0.43058786	Yes	
row_55	NDUFB2	36804	-0.6432116627693176	-0.42194343	Yes	
row_56	NDUFB3	38312	-0.9454566240310669	-0.44064957	Yes	
row_57	NDUFB6	38834	-1.11394464969635	-0.43212682	Yes	
row_58	MT-ND3	39125	-1.204683542251587	-0.41624853	Yes	
row_59	MT-ND2	39407	-1.3557692766189575	-0.39727357	Yes	
row_60	MT-ND4L	39523	-1.4193358421325684	-0.37304407	Yes	
row_61	ATP5MC1	39646	-1.4976253509521484	-0.34749407	Yes	
row_62	ATP5MC3	39892	-1.6890310049057007	-0.3212952	Yes	
row_63	MT-ND5	39942	-1.7276884317398071	-0.28958535	Yes	
row_64	MT-ND4	40162	-1.9566621780395508	-0.2576561	Yes	
row_65	MT-ATP6	40376	-2.276203155517578	-0.21949507	Yes	
row_66	MT-ND1	40391	-2.2943005561828613	-0.17614152	Yes	
row_67	MT-ND6	40672	-2.9669294357299805	-0.1264579	Yes	
row_68	MT-ATP8	40784	-3.4202001094818115	-0.06402479	Yes	
row_69	ATP5F1D	40852	-3.7877402305603027	0.0064799623	Yes	
