NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADRA2A	2401	3.0986812114715576	0.032910813	No	
row_1	DTNBP1	4867	1.7765374183654785	0.025293523	No	
row_2	ADRA2B	6417	1.351427674293518	0.027435213	No	
row_3	GRK2	7006	1.2143406867980957	0.048920475	No	
row_4	SNCA	11499	0.5964405536651611	-0.04280422	No	
row_5	SYT4	12551	0.531503438949585	-0.052712187	No	
row_6	GDNF	13614	0.41517695784568787	-0.0663166	No	
row_7	FGF20	14131	0.39297670125961304	-0.067289405	No	
row_8	ADRA2C	16852	0.1745675504207611	-0.12833044	No	
row_9	SYT11	18141	0.0930362120270729	-0.1569294	No	
row_10	FFAR3	31093	-0.07538606971502304	-0.46984753	No	
row_11	PRKN	31742	-0.12056916207075119	-0.48206165	No	
row_12	CHRNA6	33190	-0.24151450395584106	-0.5101532	No	
row_13	DRD2	33338	-0.2555443048477173	-0.50619787	No	
row_14	CARTPT	34824	-0.3844500780105591	-0.5310009	No	
row_15	CHRNA4	37524	-0.7237197756767273	-0.57534444	Yes	
row_16	DRD3	38699	-1.0706336498260498	-0.5723543	Yes	
row_17	KCNA2	39917	-1.7047786712646484	-0.55171883	Yes	
row_18	CHRNB2	40602	-2.7492239475250244	-0.4873282	Yes	
row_19	KCNB1	40620	-2.7973484992980957	-0.4052888	Yes	
row_20	STX1A	40901	-4.084929466247559	-0.29169703	Yes	
row_21	CRH	40967	-4.856767177581787	-0.15012334	Yes	
row_22	CHGA	40994	-5.216996669769287	0.0030172516	Yes	
