NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFV3	947	5.3110833168029785	0.060570467	No	
row_1	ETFDH	1388	4.353214740753174	0.11841024	No	
row_2	SLC25A51	4126	2.0406904220581055	0.08385007	No	
row_3	NDUFS7	5966	1.4612704515457153	0.062048398	No	
row_4	ETFRF1	6516	1.3220728635787964	0.06949173	No	
row_5	UQCR11	7888	1.0652215480804443	0.05285752	No	
row_6	NDUFA3	9912	0.7691879272460938	0.015671553	No	
row_7	NDUFB4	12848	0.4944083094596863	-0.04806763	No	
row_8	COX7C	13584	0.4174783527851105	-0.059404373	No	
row_9	NDUFC1	15146	0.31195276975631714	-0.09253278	No	
row_10	UQCRC2	15907	0.24906153976917267	-0.10713132	No	
row_11	SDHAF2	15976	0.2410653680562973	-0.104991734	No	
row_12	UQCC3	16423	0.20638582110404968	-0.11261021	No	
row_13	NDUFS2	16444	0.2053299844264984	-0.10986369	No	
row_14	NDUFS4	16839	0.1759680211544037	-0.11669401	No	
row_15	NDUFS1	17014	0.16168905794620514	-0.11838782	No	
row_16	COX4I2	17071	0.15833602845668793	-0.117258765	No	
row_17	NDUFS5	17152	0.1536611169576645	-0.11678822	No	
row_18	COX5A	17597	0.12352585792541504	-0.12566301	No	
row_19	SDHD	17932	0.10522188246250153	-0.13214536	No	
row_20	NDUFB10	17946	0.10431556403636932	-0.13081922	No	
row_21	SDHA	18076	0.09720123559236526	-0.13243204	No	
row_22	NDUFA9	18531	0.06713693588972092	-0.14243865	No	
row_23	COA6	18552	0.06511175632476807	-0.14190054	No	
row_24	NDUFB7	18605	0.061661168932914734	-0.14219663	No	
row_25	HCCS	18683	0.05652981624007225	-0.14318278	No	
row_26	NDUFV2	18886	0.04496108740568161	-0.1473974	No	
row_27	NDUFA7	19437	0.01778760552406311	-0.16052076	No	
row_28	NDUFB1	19572	0.013554089702665806	-0.16357288	No	
row_29	UQCR10	19748	0.004474025685340166	-0.16776717	No	
row_30	COX4I1	19792	0.002396475523710251	-0.16877733	No	
row_31	NDUFA10	30334	-0.02643563412129879	-0.4252455	No	
row_32	COX7A2	30442	-0.0331248976290226	-0.4273314	No	
row_33	SDHB	30450	-0.03377562388777733	-0.42697	No	
row_34	NDUFA12	30457	-0.03421977907419205	-0.42657727	No	
row_35	NDUFC2	30482	-0.03578716516494751	-0.42659852	No	
row_36	NDUFA6	30629	-0.04536982625722885	-0.42944196	No	
row_37	COX6B1	30757	-0.05359750613570213	-0.4316928	No	
row_38	COX6A1	31011	-0.06930166482925415	-0.43676695	No	
row_39	NDUFA5	31037	-0.07094688713550568	-0.4362588	No	
row_40	COX7B	31853	-0.13105644285678864	-0.45405623	No	
row_41	ETFA	31876	-0.13346804678440094	-0.45249027	No	
row_42	COX6C	31924	-0.13706524670124054	-0.4514769	No	
row_43	UQCRQ	32165	-0.15333133935928345	-0.45491076	No	
row_44	NDUFS3	32318	-0.16606959700584412	-0.45599943	No	
row_45	NDUFB9	32334	-0.16798074543476105	-0.45371932	No	
row_46	NDUFB8	32411	-0.17342564463615417	-0.45284	No	
row_47	NDUFA2	32452	-0.17653800547122955	-0.45103434	No	
row_48	CYC1	33006	-0.2215767502784729	-0.46102118	No	
row_49	UQCRB	33054	-0.22675833106040955	-0.45859516	No	
row_50	NDUFAF1	33232	-0.2444668859243393	-0.4590583	No	
row_51	CYCS	33481	-0.2693813443183899	-0.46085936	No	
row_52	UQCRFS1	33562	-0.27628251910209656	-0.45845756	No	
row_53	NDUFA1	33881	-0.31193533539772034	-0.4612943	No	
row_54	NDUFV1	33954	-0.32061296701431274	-0.45799932	No	
