NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SYT6	1711	3.8204455375671387	0.03422272	No	
row_1	UNC13D	2416	3.09031343460083	0.07845067	No	
row_2	STX2	10232	0.7299576997756958	-0.09720683	No	
row_3	SYT15	13015	0.47591879963874817	-0.1554478	No	
row_4	UNC13B	14195	0.3885989487171173	-0.17641911	No	
row_5	SYT11	18141	0.0930362120270729	-0.27055964	No	
row_6	UNC13C	31154	-0.07952476292848587	-0.5855821	No	
row_7	VAMP1	31256	-0.08196438103914261	-0.58641213	No	
row_8	STXBP1	31935	-0.13811011612415314	-0.6001668	No	
row_9	SYT1	33043	-0.22574985027313232	-0.6226195	No	
row_10	SYT7	35821	-0.5043523907661438	-0.6801743	No	
row_11	RAB3A	38010	-0.8493536114692688	-0.7165479	Yes	
row_12	SYT3	38114	-0.8883363604545593	-0.7014164	Yes	
row_13	SYT2	38630	-1.0424220561981201	-0.6932501	Yes	
row_14	SNAP25	40496	-2.4787344932556152	-0.6894137	Yes	
row_15	SYT5	40756	-3.2535152435302734	-0.63111794	Yes	
row_16	STX1A	40901	-4.084929466247559	-0.55351657	Yes	
row_17	RIMS1	40918	-4.322421550750732	-0.46808535	Yes	
row_18	STX1B	41068	-6.867085933685303	-0.33536664	Yes	
row_19	SYT12	41118	-16.951072692871094	-8.980351E-9	Yes	
