NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CLASSICAL ANTIBODY-MEDIATED COMPLEMENT ACTIVATION%REACTOME DATABASE ID RELEASE 91%173623	CLASSICAL ANTIBODY-MEDIATED COMPLEMENT ACTIVATION%REACTOME DATABASE ID RELEASE 91%173623	Details ...	70	0.85635036	1.8352128	0.0	0.0	0.0	2037	tags=10%, list=5%, signal=11%	
INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 91%877300	INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 91%877300	Details ...	94	0.82777	1.8177036	0.0	0.0	0.0	4790	tags=65%, list=12%, signal=73%	
REGULATION OF COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 91%977606	REGULATION OF COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 91%977606	Details ...	108	0.8234882	1.812739	0.0	0.0	0.0	2591	tags=19%, list=6%, signal=21%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	167	0.80586666	1.798166	0.0	2.720052E-4	0.001	4627	tags=61%, list=11%, signal=69%	
HALLMARK_IL6_JAK_STAT3_SIGNALING%MSIGDBHALLMARK%HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING%MSIGDBHALLMARK%HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	79	0.8173267	1.7767916	0.0	2.1760417E-4	0.001	3418	tags=54%, list=8%, signal=59%	
INITIAL TRIGGERING OF COMPLEMENT%REACTOME%R-HSA-166663.4	INITIAL TRIGGERING OF COMPLEMENT%REACTOME%R-HSA-166663.4	Details ...	83	0.8041812	1.7643709	0.0	3.6145406E-4	0.002	2037	tags=12%, list=5%, signal=13%	
IL1 SIGNALING%WIKIPATHWAYS_20250210%WP195%HOMO SAPIENS	IL1 SIGNALING%WIKIPATHWAYS_20250210%WP195%HOMO SAPIENS	Details ...	38	0.8569116	1.762436	0.0	3.0981778E-4	0.002	2326	tags=47%, list=6%, signal=50%	
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	Details ...	61	0.81474584	1.7438836	0.0	5.4138317E-4	0.004	4560	tags=57%, list=11%, signal=64%	
HALLMARK OF CANCER SUSTAINING PROLIFERATIVE SIGNALING%WIKIPATHWAYS_20250210%WP5475%HOMO SAPIENS	HALLMARK OF CANCER SUSTAINING PROLIFERATIVE SIGNALING%WIKIPATHWAYS_20250210%WP5475%HOMO SAPIENS	Details ...	67	0.8130062	1.7421458	0.0	6.0168153E-4	0.005	4767	tags=52%, list=12%, signal=59%	
INTERLEUKIN-4 AND INTERLEUKIN-13 SIGNALING%REACTOME%R-HSA-6785807.8	INTERLEUKIN-4 AND INTERLEUKIN-13 SIGNALING%REACTOME%R-HSA-6785807.8	Details ...	111	0.78554803	1.7394171	0.0	6.5090426E-4	0.006	5151	tags=53%, list=13%, signal=61%	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	83	0.7993684	1.7377703	0.0	6.8982464E-4	0.007	5822	tags=70%, list=14%, signal=81%	
NETRIN UNC5B SIGNALING%WIKIPATHWAYS_20250210%WP4747%HOMO SAPIENS	NETRIN UNC5B SIGNALING%WIKIPATHWAYS_20250210%WP4747%HOMO SAPIENS	Details ...	35	0.85013336	1.7343566	0.0	9.930201E-4	0.011	4270	tags=60%, list=10%, signal=67%	
COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 91%166658	COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 91%166658	Details ...	118	0.7837898	1.7332451	0.0	9.1663393E-4	0.011	2591	tags=18%, list=6%, signal=19%	
CREATION OF C4 AND C2 ACTIVATORS%REACTOME%R-HSA-166786.4	CREATION OF C4 AND C2 ACTIVATORS%REACTOME%R-HSA-166786.4	Details ...	77	0.795716	1.7290502	0.0	0.0010057864	0.013	2037	tags=9%, list=5%, signal=10%	
ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882	ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882	Details ...	86	0.79152745	1.7232982	0.0	0.0012281957	0.017	4560	tags=52%, list=11%, signal=59%	
IL1%NETPATH%IL1	IL1%NETPATH%IL1	Details ...	36	0.8412626	1.7218214	0.0	0.0012863941	0.019	2003	tags=44%, list=5%, signal=47%	
